MSOA,index-of-transport-accesibility,chargepoints
E02003172,0,0.03
E02003173,0,0.01
E02003174,0,0.00
E02003175,0,0.00
E02003176,0,0.00
E02003177,0,0.00
E02003178,0,0.00
E02003179,0,0.01
E02003180,0,0.01
E02003181,0,0.00
E02003182,0,0.04
E02003183,0,0.00
E02003184,0,0.00
E02003185,0,0.00
E02003186,0,0.00
E02003187,0,0.00
E02003188,0,0.03
E02003189,0,0.01
E02003190,0,0.01
E02003191,0,0.00
E02003192,0,0.02
E02003194,0,0.00
E02003195,0,0.01
E02003196,0,0.00
E02003197,0,0.00
E02003198,0,0.00
E02003199,0,0.01
E02003200,0,0.00
E02003201,0,0.01
E02003202,0,0.03
E02003203,0,0.02
E02003204,0,0.02
E02003205,0,0.01
E02003206,0,0.01
E02003207,0,0.00
E02003208,0,0.02
E02003209,0,0.00
E02003210,0,0.00
E02003211,0,0.00
E02004236,0,0.01
E02004237,0,0.00
E02004238,0,0.00
E02004239,0,0.00
E02004240,0,0.01
E02004241,0,0.02
E02004242,0,0.00
E02006883,0,0.00
E02006885,0,0.01
