MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
W02000237,"Ogmore-by-Sea & Llandow",0,379.0,1779.59,46.311,0,0,0.00,0.00,816.12,0
W02000238,"Cowbridge",0,252.0,511.11,53.974,0,0,0.00,94.19,0.00,0
W02000239,"Peterston-super-Ely & Wenvoe",0,656.0,6883.83,28.746,2,0,0.00,12414.69,0.00,0
W02000240,"Llandough & Cogan",0,448.0,2031.56,23.801,0,0,0.00,0.00,0.00,0
W02000241,"Penarth",0,221.0,2395.89,70.714,2,0,0.00,5196.70,0.00,0
W02000242,"Dinas Powys",0,732.0,530.98,24.557,0,0,0.00,0.00,0.00,0
W02000243,"Gibbonsdown",0,202.0,342.33,17.546,0,0,0.00,0.00,0.00,0
W02000244,"Lower Penarth & Sully",0,221.0,1798.44,30.595,0,0,0.00,0.00,0.00,0
W02000245,"Palmerstown",0,202.0,1365.95,8.099,0,0,0.00,2041.46,1123.27,0
W02000246,"Barry Dyfan & Illtyd",0,149.0,499.83,11.552,3,0,0.00,5229.16,0.00,0
W02000247,"Llantwit Major",0,313.0,1368.50,32.267,0,0,0.00,0.00,0.00,0
W02000248,"Barry East",0,202.0,1900.28,13.023,2,0,0.00,6797.30,0.00,0
W02000249,"Barry West",0,202.0,357.84,20.875,0,0,0.00,0.00,0.00,0
W02000250,"Rhoose & Airport",0,205.0,10358.24,27.723,2,0,0.00,322.01,0.00,0
W02000251,"Barry Island",0,626.0,4365.35,38.360,2,0,0.00,6907.75,10.44,0
