MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
W02000168,"Pontarddulais",0,1261.0,533.07,23.476,1,0,0.00,4807.97,32286.24,0
W02000169,"Clydach & Mawr",0,1632.0,1079.88,14.732,1,0,0.00,0.00,0.00,0
W02000170,"Morriston North",0,105.0,2021.30,10.065,0,0,0.00,909.30,0.00,0
W02000171,"Llangyfelach & Tircoed",0,1610.0,3764.60,32.893,3,0,0.00,1440.71,0.00,0
W02000172,"Gorseinon",0,1261.0,2511.62,33.043,1,0,0.00,8064.02,0.00,0
W02000173,"Birchgrove",0,183.0,148.76,14.045,0,0,0.00,0.00,0.00,0
W02000174,"Loughor",0,1322.0,2230.85,28.073,0,0,0.00,0.00,0.00,0
W02000175,"Morriston South",0,303.0,485.36,11.817,3,0,0.00,2561.32,0.00,0
W02000176,"Mynydd-bach",0,395.0,1855.29,8.969,0,0,0.00,0.00,0.00,0
W02000177,"Llansamlet",0,320.0,7183.85,25.877,4,0,2885.63,25760.64,2885.63,0
W02000178,"Penderry",0,61.0,1858.83,6.073,0,0,0.00,0.00,0.00,0
W02000179,"Gowerton",0,1451.0,380.35,10.072,1,0,0.00,0.00,0.00,0
W02000180,"Ravenhill",0,61.0,1274.15,7.018,0,0,0.00,12909.77,0.00,0
W02000181,"Bon-y-maen",0,693.0,3983.06,32.415,4,0,0.00,7803.70,0.00,0
W02000182,"Cwmbwrla",0,61.0,1088.06,5.709,0,0,0.00,441.47,0.00,0
W02000183,"Landore",0,303.0,1863.63,5.473,3,0,0.00,378.84,0.00,0
W02000184,"Cockett",0,327.0,1180.39,9.402,1,0,0.00,2475.82,0.00,0
W02000185,"Llanmorlais & Three Crosses",0,1390.0,552.93,15.052,0,0,0.00,1315.78,0.00,0
W02000186,"Townhill",0,327.0,0.00,3.230,0,0,0.00,0.00,0.00,0
W02000187,"Dunvant & Upper Killay",0,1390.0,455.59,14.346,2,0,0.00,0.00,0.00,0
W02000188,"St Thomas",0,137.0,3183.13,2.418,4,0,0.00,0.00,0.00,0
W02000189,"Ty-coch",0,1390.0,1246.43,23.860,0,0,0.00,463.98,0.00,0
W02000190,"Killay",0,190.0,529.25,11.275,0,0,0.00,962.93,0.00,0
W02000191,"Uplands",0,266.0,201.91,20.426,0,0,0.00,0.00,344.30,0
W02000192,"Central Swansea",0,266.0,7518.61,9.881,4,0,0.00,19326.91,0.00,0
W02000193,"Brynmill",0,511.0,878.27,8.206,1,0,0.00,0.00,0.00,0
W02000194,"Sketty",0,312.0,3614.40,19.069,2,0,0.00,437.03,0.00,0
W02000195,"Mayals & Bishopston",0,183.0,621.17,22.261,0,0,0.00,0.00,0.00,0
W02000196,"West Cross",0,320.0,88.09,24.692,0,0,0.00,452.31,0.00,0
W02000197,"West Gower",0,1573.0,1750.76,32.708,0,0,0.00,0.00,0.00,0
W02000198,"Mumbles & Newton",0,1444.0,1635.66,62.076,0,0,0.00,0.00,0.00,0
