E02006158	Kidsgrove East
E02006159	Kidsgrove Central
E02006160	Kidsgrove West
E02006161	Talke & Crackley
E02006162	Audley & Bignall End
E02006163	Bradwell
E02006164	Chesterton & Knutton
E02006165	Porthill
E02006166	May Bank
E02006167	Newcastle West & Cross Heath
E02006168	Newcastle Town
E02006169	Silverdale & Keele
E02006170	Madeley & Betley
E02006171	Clayton & Langdale
E02006172	Westlands & Seabridge
E02006173	Loggerheads & Baldwins Gate
