MSOA,Name,index-of-transport-accesibility,chargepoints
E02006158,"Kidsgrove East",0,0
E02006159,"Kidsgrove Central",0,2
E02006160,"Kidsgrove West",0,0
E02006161,"Talke & Crackley",0,0
E02006162,"Audley & Bignall End",0,0
E02006163,"Bradwell",0,0
E02006164,"Chesterton & Knutton",0,0
E02006165,"Porthill",0,0
E02006166,"May Bank",0,0
E02006167,"Newcastle West & Cross Heath",0,3
E02006168,"Newcastle Town",0,1
E02006169,"Silverdale & Keele",0,9
E02006170,"Madeley & Betley",0,0
E02006171,"Clayton & Langdale",0,0
E02006172,"Westlands & Seabridge",0,1
E02006173,"Loggerheads & Baldwins Gate",0,0
