MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02005102,"Lyminge",0,742.0,395.58,36.573,0,0,0.00,0.00,0.00,0
E02005103,"Hawkinge",0,169.0,1199.97,21.889,0,0,0.00,2558.76,0.00,0
E02005104,"Folkestone North East",0,361.0,667.52,9.026,0,0,0.00,0.00,1923.92,0
E02005105,"Folkestone Foord",0,151.0,22.41,7.840,0,0,0.00,0.00,0.00,0
E02005106,"Cheriton & Horn Street",0,361.0,1652.56,9.340,0,0,0.00,5997.07,3745.29,0
E02005107,"Folkestone Morehall & Sandgate",0,271.0,2511.31,17.186,5,0,0.00,8663.67,10680.34,0
E02005109,"Saltwood",0,336.0,2745.49,27.296,2,0,0.00,0.00,0.00,0
E02005110,"Lympne & Palmarsh",0,424.0,660.20,27.276,0,0,0.00,0.00,3498.54,0
E02005111,"Hythe",0,192.0,1083.08,34.204,7,0,0.00,9400.31,0.00,0
E02005112,"Dymchurch",0,687.0,814.59,18.831,2,0,0.00,0.00,6933.68,0
E02005113,"New Romney",0,115.0,1234.73,16.697,3,0,0.00,2179.49,0.00,0
E02005114,"Lydd & Dungeness",0,115.0,2427.55,11.241,0,0,0.00,139.35,0.00,0
E02006879,"Folkestone Harbour",0,361.0,2548.36,22.571,3,0,0.00,10634.17,0.00,0
E02006880,"Folkestone Central",0,151.0,1216.59,7.752,0,0,0.00,4581.80,0.00,0
