MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02004764,"Waterlooville North West",0,475.0,408.25,60.879,4,0.00,0.00,0.00
E02004765,"Waterlooville North East",0,279.0,145.72,15.109,0,0.00,0.00,0.00
E02004766,"Waterlooville Central",0,279.0,1998.65,18.724,1,0.00,5814.06,0.00
E02004767,"Barncroft & Warren Park",0,298.0,128.76,9.164,0,0.00,0.00,0.00
E02004768,"Waterlooville East",0,279.0,84.44,16.222,0,0.00,0.00,0.00
E02004769,"Leigh Park",0,298.0,1077.71,9.091,3,0.00,1742.91,0.00
E02004770,"West Leigh",0,298.0,651.92,12.727,0,0.00,0.00,0.00
E02004771,"Stockheath Common",0,298.0,599.94,13.382,1,0.00,9.39,0.00
E02004772,"Purbrook & Widley",0,7226.0,1150.38,21.072,0,0.00,0.00,0.00
E02004774,"Emsworth",0,554.0,830.18,42.494,3,0.00,0.00,0.00
E02004775,"Central Havant & Langstone",0,428.0,7151.73,48.117,2,0.00,12078.10,0.00
E02004776,"Hayling West & North",0,126.0,1950.21,22.026,0,0.00,2485.51,0.00
E02004777,"South Hayling",0,126.0,2475.35,32.304,0,0.00,407.38,0.00
E02004778,"Hayling Eastoke",0,126.0,774.47,20.557,0,0.00,0.00,0.00
E02006822,"Bedhampton",0,298.0,2752.79,15.055,0,0.00,15440.69,0.00
E02006830,"Cowplain West",0,196.0,149.86,19.450,0,0.00,0.00,0.00
E02006831,"Cowplain East",0,475.0,175.50,18.793,0,0.00,0.00,0.00
