MSOA,index-of-transport-accesibility,chargepoints
E02001019,0.118,0.02
E02001020,0.133,0.00
E02001021,0.144,0.00
E02001022,0.083,0.00
E02001023,0.093,0.00
E02001024,0.139,0.00
E02001025,0.145,0.02
E02001026,0.218,0.05
E02001027,0.104,0.00
E02001028,0.089,0.00
E02001029,0.106,0.05
E02001030,0.115,0.00
E02001031,0.086,0.01
E02001032,0.089,0.00
E02001033,0.076,0.01
E02001034,0.08,0.00
E02001035,0.089,0.00
E02001036,0.071,0.00
E02001037,0.128,0.00
E02001038,0.242,0.01
E02001039,0.145,0.00
E02001040,0.167,0.03
E02001041,0.13,0.00
E02001042,0.116,0.00
E02001043,0.086,0.00
E02001044,0.131,0.00
