MSOA,index-of-transport-accesibility,chargepoints
E02000864,0,0.02
E02000865,0,0.02
E02000866,0,0.03
E02000867,0,0.00
E02000868,0,0.01
E02000869,0,0.01
E02000870,0,0.00
E02000871,0,0.01
E02000872,0,0.02
E02000873,0,0.00
E02000874,0,0.00
E02000875,0,0.00
E02000876,0,0.02
E02000877,0,0.01
E02000878,0,0.03
E02000879,0,0.03
E02000880,0,0.00
E02000881,0,0.00
E02000882,0,0.00
E02000883,0,0.01
E02000884,0,0.01
E02000885,0,0.02
E02000886,0,0.00
E02000887,0,0.05
E02000888,0,0.01
E02000889,0,0.00
E02000890,0,0.03
E02000891,0,0.05
E02000893,0,0.00
E02000894,0,0.00
E02006853,0,0.03
E02006854,0,0.10
