E02005906	East Bridgford & Aslockton
E02005907	Bingham
E02005908	Radcliffe on Trent & Shelford
E02005909	Lady Bay
E02005910	West Bridgford
E02005911	Gamston & Holme Pierrepoint
E02005912	Compton Acres & Lutterell
E02005913	Edwalton
E02005914	Cotgrave
E02005915	Cropwell Bishop
E02005916	Ruddington
E02005917	Keyworth North
E02005918	Keyworth South
E02005919	Ratcliffe
E02005920	East Leake
