E02006261	Eye
E02006262	Rickinghall
E02006263	Fressingfield
E02006264	Thurston
E02006265	Stowupland
E02006266	Elmswell South
E02006267	Debenham
E02006268	Stowmarket West
E02006269	Stowmarket Outer
E02006270	Stowmarket East & Needham Market North
E02006271	Needham Market South & Great Blakenham
E02006272	Claydon & Bramford
