MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs,estimated-capacity
E02004626,"Dymock",0,0,972.0,41.808,953.74
E02004627,"Newent",0,0,241.0,24.532,666.57
E02004628,"Mitcheldean",0,0,255.0,23.051,364.53
E02004629,"Cinderford",0,0,347.0,32.667,2335.90
E02004630,"Longhope",0,0,866.0,16.338,434.54
E02004631,"Lydbrook",0,1,607.0,16.406,1150.36
E02004632,"Coleford",0,1,74.0,22.762,1300.63
E02004633,"Bream",0,1,195.0,22.334,1063.46
E02004634,"Lydney",0,3,121.0,34.181,2043.93
E02004635,"Tidenham & Woolaston",0,2,330.0,34.186,1441.24
