MSOA,index-of-transport-accesibility,chargepoints
E02000397,0,0.01
E02000398,0,0.01
E02000400,0,0.02
E02000401,0,0.01
E02000402,0,0.01
E02000403,0,0.01
E02000404,0,0.02
E02000405,0,0.01
E02000406,0,0.00
E02000407,0,0.00
E02000408,0,0.02
E02000409,0,0.02
E02000410,0,0.02
E02000411,0,0.00
E02000412,0,0.07
E02000413,0,0.00
E02000414,0,0.00
E02000415,0,0.02
E02000416,0,0.00
E02000417,0,0.05
E02000418,0,0.03
E02000419,0,0.02
E02000420,0,0.06
E02000421,0,0.02
E02000422,0,0.00
E02000423,0,0.01
E02000424,0,0.00
E02000425,0,0.01
E02000426,0,0.01
E02000427,0,0.00
E02000428,0,0.01
E02000429,0,0.04
E02000430,0,0.02
E02000431,0,0.02
E02000432,0,0.02
E02006794,0,0.10
