MSOA,index-of-transport-accesibility,chargepoints
E02000313,0,0.00
E02000314,0,0.03
E02000315,0,0.04
E02000316,0,0.08
E02000317,0,0.02
E02000318,0,0.02
E02000319,0,0.00
E02000320,0,0.01
E02000321,0,0.00
E02000323,0,0.08
E02000324,0,0.03
E02000326,0,0.05
E02000327,0,0.04
E02000328,0,0.02
E02000329,0,0.03
E02000331,0,0.02
E02000332,0,0.03
E02000333,0,0.01
E02000334,0,0.02
E02000335,0,0.03
E02000337,0,0.03
E02000339,0,0.01
E02000340,0,0.02
E02000341,0,0.01
E02000342,0,0.00
E02000343,0,0.00
E02000344,0,0.03
E02006786,0,0.00
E02006927,0,0.01
E02006928,0,0.04
E02006929,0,0.47
E02006930,0,0.03
E02006931,0,0.08
