E02005189	Clayton Brook
E02005190	Brindle & Withnell
E02005191	Clayton-le-Woods
E02005192	Whittle-le-Woods & Anglezarke
E02005193	Euxton
E02005194	Chorley North
E02005195	Croston & Mawdesley
E02005196	Chorley West
E02005197	Chorley East
E02005198	Chorley Town & South
E02005199	Eccleston & Charnock Richard
E02005200	Chorley South West
E02005201	Coppull
E02005202	Adlington & Rivington
