MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02005570,"Sheringham",0,149.0,1190.67,23.825,5,0.00,0.00,0.00
E02005571,"Wells & Blakeney",0,211.0,3958.74,22.482,5,0.00,1139.29,0.00
E02005572,"Cromer",0,71.0,2909.58,26.806,6,0.00,7604.32,4524.40
E02005573,"Holt & Weybourne",0,78.0,1769.92,26.171,4,0.00,0.00,0.00
E02005574,"Overstrand",0,182.0,1652.76,22.664,2,0.00,0.00,272.67
E02005575,"Beeston Regis",0,320.0,1092.07,27.796,3,0.00,0.00,0.00
E02005576,"Mundesley",0,329.0,1145.62,20.882,2,0.00,335.77,1860.11
E02005577,"Melton Constable",0,209.0,1648.47,7.578,0,0.00,0.00,0.00
E02005578,"Walsingham & Raynham",0,311.0,617.36,13.464,2,0.00,0.00,0.00
E02005579,"North Walsham",0,486.0,4380.95,29.676,6,0.00,9510.77,30482.92
E02005580,"Fakenham",0,113.0,1503.17,16.763,6,4338.56,12606.91,4338.56
E02005581,"Felmingham",0,448.0,689.05,26.021,2,0.00,299.77,9828.70
E02005582,"Stalham & Sea Palling",0,225.0,1811.12,28.345,2,0.00,2969.65,0.00
E02005583,"Hoveton",0,225.0,2824.82,32.050,1,0.00,3529.20,29.26
