MSOA,Name,index-of-transport-accessibility,chargepoints,ULEVs,EVHS
E02002985,"Keynsham North",0,3,282.0,44.554
E02002986,"Keynsham South",0,0,171.0,23.881
E02002987,"Keynsham East",0,1,171.0,28.657
E02002988,"Lambridge & Fairfield Park",0,1,453.0,12.048
E02002989,"Weston",0,0,453.0,10.506
E02002990,"Walcot",0,1,1169.0,15.612
E02002991,"Central Bath & Lansdown",0,7,1819.0,150.019
E02002992,"Newbridge",0,2,1169.0,12.450
E02002993,"Kingsmead",0,6,453.0,19.836
E02002994,"Bathavon North & South",0,5,1580.0,51.745
E02002995,"Twerton",0,0,1169.0,14.596
E02002996,"Widcombe",0,7,1169.0,42.278
E02002997,"Oldfield Park West",0,0,1169.0,17.650
E02002998,"Oldfield Park East",0,0,716.0,14.341
E02002999,"Southdown",0,0,716.0,10.459
E02003000,"Saltford",0,0,1424.0,52.519
E02003001,"Bloomfield",0,1,1169.0,15.924
E02003002,"Combe Down",0,0,1169.0,21.208
E02003003,"Odd Down",0,0,716.0,15.743
E02003004,"Pensford",0,0,271.0,37.078
E02003005,"Chew",0,1,884.0,58.792
E02003006,"Peasedown & Bathavon West",0,16,982.0,35.988
E02003007,"High Littleton & Paulton",0,2,426.0,37.763
E02003008,"Radstock",0,0,266.0,21.259
E02003009,"Midsomer Norton North",0,2,426.0,11.503
E02003010,"Westfield",0,0,266.0,11.326
E02003011,"Midsomer Norton Redfield",0,0,266.0,8.542
E02003012,"Henbury & Brentry",0,0,229.0,20.142
E02003013,"Southmead",0,0,796.0,18.641
E02003014,"Lawrence Weston",0,0,320.0,7.916
E02003015,"Monks Park",0,9,779.0,12.413
E02003016,"Upper Horfield",0,0,176.0,13.880
E02003017,"Westbury Village",0,0,16492.0,86.328
E02003018,"Sea Mills",0,0,465.0,31.519
E02003019,"Shirehampton & Avonmouth",0,8,91.0,12.978
E02003020,"Westbury on Trym",0,0,603.0,36.037
E02003021,"Horfield",0,2,405.0,12.554
E02003022,"Henleaze",0,0,605.0,30.571
E02003023,"Stapleton",0,0,15889.0,21.681
E02003024,"Fishponds North",0,2,15889.0,68.750
E02003025,"Lockleaze",0,2,16610.0,11.470
E02003026,"Stoke Bishop",0,0,374.0,58.407
E02003027,"Bishopston",0,0,407.0,22.254
E02003028,"Westbury Park",0,0,781.0,27.037
E02003029,"Fishponds South",0,0,16057.0,16.401
E02003030,"Eastville",0,2,16103.0,13.929
E02003031,"Redland & St Andrew's",0,0,738.0,52.154
E02003032,"Speedwell",0,0,16271.0,17.088
E02003033,"Cotham",0,1,458.0,25.746
E02003034,"St Paul's",0,4,842.0,11.754
E02003036,"Kingsdown & Stokes Croft",0,5,666.0,13.766
E02003037,"Clifton East",0,0,227.0,17.852
E02003038,"Two Mile Hill",0,0,382.0,6.269
E02003039,"St George",0,0,382.0,3.842
E02003040,"Redfield",0,3,214.0,4.739
E02003041,"Clifton Village",0,5,395.0,21.835
E02003043,"Bristol City Centre",0,52,893.0,17.801
E02003044,"Crews Hole",0,0,382.0,3.252
E02003045,"Hotwells",0,6,227.0,9.738
E02003046,"St Annes",0,1,278.0,10.723
E02003047,"Southville",0,3,257.0,8.188
E02003048,"Totterdown",0,0,431.0,6.030
E02003049,"Broom Hill",0,0,449.0,11.430
E02003050,"Bedminster",0,0,1059.0,25.749
E02003051,"Windmill Hill",0,0,153.0,4.614
E02003052,"Ashton",0,0,153.0,6.806
E02003053,"Knowle Park",0,0,542.0,8.798
E02003054,"Brislington",0,7,449.0,9.777
E02003055,"Knowle",0,0,431.0,7.649
E02003056,"Knowle West",0,1,431.0,7.842
E02003057,"Bishopsworth",0,0,219.0,5.870
E02003058,"Hengrove",0,0,111.0,17.639
E02003059,"Headley Park",0,1,219.0,6.121
E02003060,"Stockwood",0,0,389.0,19.693
E02003061,"Highridge",0,0,66.0,5.240
E02003062,"Withywood",0,0,66.0,5.978
E02003063,"Whitchurch Park",0,2,177.0,16.042
E02003064,"Hartcliffe",0,1,177.0,8.570
E02003090,"Thornbury North",0,0,384.0,41.587
E02003091,"Thornbury South",0,2,384.0,46.723
E02003092,"Charfield",0,0,685.0,43.538
E02003093,"Alveston",0,1,411.0,43.843
E02003094,"Almondsbury",0,12,783.0,46.742
E02003095,"Yate North",0,2,301.0,33.431
E02003096,"Yate West",0,1,301.0,13.696
E02003097,"Chipping Sodbury",0,0,301.0,19.196
E02003098,"Bradley Stoke North East",0,3,16244.0,28.799
E02003099,"Yate Kingsgate",0,0,301.0,16.716
E02003100,"Patchway",0,9,355.0,102.843
E02003101,"Bradley Stoke Central",0,1,355.0,25.404
E02003102,"Frampton Cotterell",0,0,140.0,32.210
E02003103,"Yate South",0,0,301.0,11.971
E02003104,"Stoke Gifford",0,0,355.0,15.992
E02003105,"Winterbourne",0,0,16330.0,48.747
E02003106,"Frenchay & Great Stoke",0,8,16398.0,33.850
E02003107,"Filton",0,1,369.0,25.900
