MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
W02000367,"Lisvane",0,620.0,748.16,23.145,0,0,0.00,0.00,0.00,0
W02000368,"Thornhill",0,360.0,834.99,15.317,0,0,0.00,0.00,0.00,0
W02000369,"Pontprennau",0,777.0,2302.30,30.808,2,0,0.00,15334.71,0.00,0
W02000370,"Rhiwbina & Pant-mawr",0,532.0,652.38,20.171,0,0,0.00,0.00,0.00,0
W02000371,"Llanishen",0,360.0,3239.11,97.431,3,0,1649.99,6889.96,0.00,0
W02000372,"Radyr",0,129.0,2191.95,50.638,0,0,0.00,0.00,0.00,0
W02000373,"Llanrumney North",0,157.0,765.24,21.786,0,0,0.00,0.00,0.00,0
W02000374,"Cyncoed North",0,620.0,303.13,21.057,0,0,0.00,0.00,0.00,0
W02000375,"Pentwyn",0,417.0,3195.25,17.944,0,0,0.00,1691.02,0.00,0
W02000376,"Tongwynlais & Coryton",0,661.0,4196.17,28.349,2,0,0.00,11180.83,0.00,0
W02000377,"Pwll-mawr & St Mellons East",0,417.0,1861.62,50.058,3,0,148197.01,3090.97,0.00,0
W02000378,"Rhiwbina Village",0,360.0,515.33,23.684,0,0,0.00,2046.93,0.00,0
W02000379,"St Mellons West",0,157.0,233.13,8.349,0,0,0.00,2496.15,0.00,0
W02000380,"Creigiau",0,504.0,1653.12,29.879,1,0,0.00,0.00,243.83,0
W02000381,"Llanrumney South",0,157.0,224.87,20.808,0,0,0.00,0.00,0.00,0
W02000382,"Trowbridge",0,417.0,62.43,16.086,0,0,0.00,0.00,0.00,0
W02000383,"Llanedeyrn",0,417.0,4201.74,22.836,0,0,0.00,0.00,0.00,0
W02000384,"Heath",0,620.0,2138.71,18.832,3,0,0.00,2424.66,0.00,0
W02000385,"Cyncoed South & Roath Park",0,417.0,1152.45,24.174,0,0,0.00,0.00,0.00,0
W02000386,"Whitchurch",0,384.0,271.94,31.484,0,0,0.00,768.90,0.00,0
W02000387,"Birchgrove",0,360.0,644.61,17.870,0,0,0.00,0.00,0.00,0
W02000388,"Rumney",0,157.0,341.26,17.025,0,0,0.00,0.00,0.00,0
W02000389,"Llandaf North",0,581.0,590.99,23.520,0,0,0.00,0.00,0.00,0
W02000390,"Pen-y-lan North",0,417.0,753.33,29.211,0,0,0.00,0.00,0.00,0
W02000391,"Gabalfa",0,360.0,2563.24,19.430,0,0,0.00,0.00,0.00,0
W02000392,"Llandaf & Danescourt",0,255.0,776.09,20.805,1,0,0.00,1193.67,0.00,0
W02000393,"Fairwater North",0,231.0,104.97,12.254,0,0,0.00,0.00,0.00,0
W02000394,"Cathays North",0,459.0,358.53,2.599,0,0,0.00,0.00,0.00,0
W02000395,"Pen-y-lan South",0,540.0,3974.74,32.563,2,0,0.00,15457.48,0.00,0
W02000396,"Roath",0,359.0,122.15,4.278,1,0,0.00,0.00,0.00,0
W02000397,"Fairwater South",0,255.0,165.12,14.105,0,0,0.00,0.00,0.00,0
W02000398,"Cathays South & Bute Park",0,783.0,3812.30,0.839,13,0,0.00,75.62,0.00,0
W02000399,"Plasnewydd",0,326.0,807.11,2.254,0,0,0.00,0.00,0.00,0
W02000400,"Pontcanna",0,458.0,1537.80,3.153,3,0,0.00,313.29,0.00,0
W02000401,"Victoria Park",0,458.0,111.94,11.706,2,0,0.00,0.00,0.00,0
W02000402,"Adamsdown",0,451.0,2128.25,2.602,4,0,0.00,2784.54,0.00,0
W02000403,"Tremorfa & Pengam",0,123.0,1051.90,1.403,0,0,0.00,8566.29,0.00,0
W02000404,"Splott",0,123.0,915.80,1.853,0,0,1935.85,2444.96,23682.19,0
W02000405,"Ely East",0,231.0,122.18,12.254,0,0,0.00,0.00,0.00,0
W02000406,"Canton",0,458.0,4839.15,38.534,2,0,0.00,11996.52,0.00,0
W02000407,"Caerau East",0,255.0,1045.24,11.549,0,0,0.00,1931.71,0.00,0
W02000408,"South Riverside",0,326.0,375.71,2.394,1,0,0.00,316.03,0.00,0
W02000409,"Ely West",0,231.0,437.88,9.521,0,0,0.00,0.00,0.00,0
W02000410,"Grangetown North",0,324.0,135.57,2.279,2,0,0.00,0.00,0.00,0
W02000411,"Caerau West",0,231.0,822.45,11.725,0,0,0.00,4163.00,0.00,0
W02000412,"Grangetown South",0,423.0,1626.57,11.194,1,0,0.00,0.00,0.00,0
W02000422,"Cardiff Bay",0,423.0,12172.71,1.642,5,0,0.00,18665.39,0.00,0
W02000423,"Butetown",0,423.0,2985.73,0.336,0,0,0.00,636.89,0.00,0
