MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02006767,"Wolverley",0,1129.0,2133.38,39.386,0,99786.22,0.00,21086.87,56.244
E02006768,"Franche",0,428.0,1524.53,44.913,0,0.00,11107.91,0.00,0.799
E02006769,"Greenhill",0,171.0,240.79,11.327,0,0.00,0.00,0.00,0
E02006770,"Kidderminster Town",0,428.0,4525.45,36.960,2,0.00,17020.05,0.00,10.669
E02006771,"Bewdley East & Upper Arley",0,295.0,2590.43,18.344,0,0.00,0.00,0.00,0.986
E02006772,"Habberley",0,307.0,620.69,14.393,1,0.00,0.00,0.00,0.33
E02006773,"Comberton",0,171.0,95.55,15.484,0,0.00,225.77,0.00,3.09
E02006774,"Foley Park",0,136.0,534.67,12.522,0,0.00,0.00,0.00,2.508
E02006775,"Birchen Coppice",0,136.0,1261.22,12.522,2,0.00,1929.74,0.00,3.656
E02006776,"Spennells & Hoobrook",0,307.0,285.55,13.320,2,0.00,0.00,0.00,0
E02006777,"Bewdley West",0,385.0,1740.66,22.099,0,0.00,0.00,0.00,1.598
E02006778,"Stourport Lickhill & Burlish",0,295.0,828.56,12.469,0,0.00,0.00,0.00,3.5
E02006779,"Stourport Mitton & Wilden",0,90.0,3434.15,30.497,2,0.00,4612.53,0.00,11.7636
E02006780,"Stourport Areley Kings",0,90.0,892.17,9.194,0,42.03,0.00,0.00,0.748
