MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02005940,"Wolvercote & Cutteslowe",0,489.0,2662.63,31.324,2,0.00,95.83,0.00,0
E02005941,"Summertown",0,489.0,417.03,36.044,4,0.00,0.00,0.00,0
E02005942,"North Central Oxford",0,489.0,1661.75,22.313,7,0.00,0.00,0.00,0
E02005943,"Marston",0,736.0,1644.48,16.979,0,0.00,0.00,40.64,0
E02005944,"Barton",0,247.0,404.82,16.647,0,0.00,0.00,0.00,0
E02005945,"Headington",0,247.0,4202.34,38.307,6,0.00,1506.77,0.00,0
E02005946,"Risinghurst & Sandhills",0,247.0,807.65,19.674,1,0.00,1543.98,0.00,0
E02005947,"Oxford Central",0,1010.0,2772.98,123.162,11,0.00,0.00,0.00,0
E02005948,"Osney",0,675.0,3866.33,34.385,5,0.00,5460.67,1278.06,0
E02005949,"Churchill",0,247.0,2228.78,14.944,0,0.00,0.00,0.00,0
E02005950,"East Central Oxford",0,898.0,816.25,12.135,4,0.00,589.20,393.20,0
E02005951,"Grandpont & New Hinksey",0,651.0,1672.90,7.156,1,0.00,0.00,0.00,0
E02005952,"Cowley North",0,825.0,5442.61,18.880,2,0.00,1114.16,88685.98,0
E02005953,"Iffley Fields",0,651.0,566.84,4.409,1,0.00,381.77,0.00,0
E02005954,"Cowley South & Iffley",0,465.0,2037.50,10.858,0,0.00,3240.29,0.00,0
E02005955,"Littlemore & Rose Hill",0,913.0,3860.74,43.863,11,0.00,8371.75,0.00,0
E02005956,"Blackbird Leys",0,465.0,2413.01,12.078,3,0.00,0.00,5035.91,0
E02005957,"Greater Leys",0,465.0,858.54,14.753,1,0.00,0.00,0.00,0
