MSOA,Name,index-of-transport-accesibility,chargepoints
E02005865,"Ravenshead & Newstead",0,0
E02005866,"Calverton & Woodborough",0,0
E02005868,"Redhill",0,0
E02005869,"Arnold Town",0,3
E02005870,"Daybrook",0,5
E02005871,"Plains Estate",0,0
E02005872,"Burton Joyce & Lambley",0,0
E02005873,"Woodthorpe & Arno Vale",0,1
E02005874,"Mapperley & Porchester",0,2
E02005875,"Gedling North",0,4
E02005876,"Gedling South",0,0
E02005877,"Carlton Hill",0,4
E02005878,"Carlton",0,12
E02005879,"Netherfield & Colwick",0,8
E02006835,"Bestwood Village",0,0
