E02005865	Ravenshead & Newstead
E02005866	Calverton & Woodborough
E02005868	Redhill
E02005869	Arnold Town
E02005870	Daybrook
E02005871	Plains Estate
E02005872	Burton Joyce & Lambley
E02005873	Woodthorpe & Arno Vale
E02005874	Mapperley & Porchester
E02005875	Gedling North
E02005876	Gedling South
E02005877	Carlton Hill
E02005878	Carlton
E02005879	Netherfield & Colwick
E02006835	Bestwood Village
