MSOA,index-of-transport-accesibility,chargepoints
E02003491,0,0.00
E02003492,0,0.02
E02003493,0,0.02
E02003494,0,0.01
E02003495,0,0.00
E02003496,0,0.00
E02003497,0,0.01
E02003498,0,0.03
E02003499,0,0.01
E02003500,0,0.09
E02003501,0,0.08
E02003502,0,0.01
E02003503,0,0.00
E02003504,0,0.09
E02003505,0,0.02
E02003506,0,0.13
E02003507,0,0.00
E02003508,0,0.05
E02003509,0,0.06
E02003510,0,0.08
E02003511,0,0.10
E02003512,0,0.07
E02003513,0,0.05
E02003514,0,0.05
E02003515,0,0.03
E02003516,0,0.08
E02003517,0,0.19
E02003518,0,0.08
E02003519,0,0.09
E02003520,0,0.05
E02003521,0,0.05
E02003522,0,0.05
E02003523,0,0.01
