E02004015	Windermere North
E02004016	Windermere South & Staveley
E02004017	Kendal North & Burneside
E02004018	Kendal Town & Greenside
E02004019	Kendal East & Whinfell
E02004020	Kendal South
E02004021	Hawkshead & Cartmel Fell
E02004022	Coniston
E02004023	Sedbergh & Kirkby Lonsdale
E02004024	Burton-in-Kendal
E02004025	Arnside
E02004026	Ulverston
E02004027	Grange-over-Sands & Cartmel Peninsula
E02004028	Swarthmoor & Low Furness
