MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02000923,"Battersea Park",0,1694.0,933.88,2.957,9,0,0.00,0.00,0.00,1.63
E02000924,"Nine Elms & Patmore",0,2994.0,587.94,3.093,9,0,0.00,1972.08,6241.09,68.35
E02000925,"Battersea Latchmere",0,738.0,203.78,2.053,6,0,0.00,0.00,0.00,3.25
E02000926,"St Mary's & Cotton Row",0,1413.0,422.39,4.549,24,0,0.00,0.00,0.00,13.4
E02000927,"Lavender Hill East",0,2007.0,91.36,1.605,33,0,0.00,0.00,275.58,0.59
E02000928,"Putney Embankment & Lower Common",0,708.0,0.00,13.978,23,0,0.00,723.78,0.00,0.27
E02000929,"York Gardens",0,1413.0,179.27,2.335,3,0,0.00,0.00,0.00,26.83
E02000930,"Lavender Hill West & Little India",0,1559.0,348.05,14.631,20,0,0.00,7977.92,0.00,5.32
E02000931,"Clapham Common West",0,1051.0,0.00,2.612,120,0,0.00,0.00,0.00,0.76
E02000932,"Putney Town & Wandsworth Park",0,1383.0,122.24,23.012,65,0,0.00,3983.37,0.00,19.2
E02000933,"Putney West",0,708.0,51.98,55.983,16,0,0.00,0.00,0.00,0.69
E02000934,"Clapham Junction & East Hill",0,1413.0,279.31,8.621,9,0,0.00,0.00,0.00,20.27
E02000935,"Roehampton North West",0,708.0,719.24,7.383,6,0,0.00,0.00,0.00,0.11
E02000936,"East Putney",0,1383.0,90.11,17.679,15,0,0.00,0.00,0.00,1.72
E02000937,"Wandsworth Common",0,1666.0,12.15,3.666,32,0,0.00,0.00,0.00,0.35
E02000938,"Roehampton North East",0,708.0,723.28,17.562,5,0,0.00,0.00,0.00,0.65
E02000939,"Nightingale Lane",0,1304.0,53.93,4.868,52,0,0.00,0.00,0.00,0.59
E02000940,"Wandsworth South",0,675.0,2156.64,11.933,20,0,0.00,8220.89,6517.79,3.51
E02000941,"Earlsfield North",0,2654.0,12.10,47.672,18,0,0.00,0.00,0.00,0.8
E02000942,"Southfields North",0,2528.0,165.97,11.604,16,0,0.00,0.00,0.00,0.28
E02000943,"Balham",0,566.0,381.56,22.329,23,0,0.00,5117.57,379.18,1.16
E02000944,"West Hill North",0,2528.0,40.58,8.566,3,0,0.00,0.00,0.00,1.46
E02000945,"Roehampton South & Putney Vale",0,708.0,821.45,11.111,10,0,0.00,8450.92,0.00,20.92
E02000946,"Earlsfield South",0,1039.0,159.77,9.125,18,0,0.00,0.00,0.00,2.29
E02000947,"Merton Road",0,675.0,106.54,10.646,16,0,0.00,0.00,0.00,0.13
E02000948,"Tooting Bec Common",0,1125.0,177.91,7.093,7,0,0.00,0.00,0.00,0.48
E02000949,"Springfield",0,1292.0,458.40,7.646,16,0,0.00,0.00,0.00,34.36
E02000950,"West Hill South",0,1145.0,201.86,13.609,2,0,0.00,0.00,0.00,0
E02000951,"Tooting Bec West",0,617.0,70.71,2.323,12,0,0.00,0.00,0.00,0.13
E02000952,"Tooting Bec East",0,617.0,10.00,2.379,8,0,0.00,0.00,0.00,0.25
E02000953,"Summerstown",0,1039.0,67.77,3.741,11,0,0.00,0.00,1073.44,0.11
E02000954,"Upper Tooting",0,364.0,37.94,2.001,8,0,0.00,84.98,0.00,0.7
E02000955,"Tooting North",0,364.0,0.00,1.944,6,0,0.00,0.00,0.00,0.58
E02000956,"Tooting West",0,364.0,1133.59,2.598,7,0,0.00,0.00,0.00,1.31
E02000957,"Tooting East",0,394.0,294.66,13.066,5,0,0.00,3982.63,0.00,1.54
E02000958,"Furzedown West",0,872.0,50.41,5.797,3,0,0.00,0.00,0.00,0.09
E02000959,"Furzedown East",0,508.0,0.00,7.934,9,0,0.00,0.00,0.00,0.46
