MSOA11CD,Representative Charging Devices
E02000001,0.320
E02000002,8.261
E02000003,14.662
E02000004,7.543
E02000005,8.289
E02000007,8.832
E02000008,26.197
E02000009,9.532
E02000010,6.443
E02000011,6.380
E02000012,4.646
E02000013,4.376
E02000014,5.907
E02000015,7.506
E02000016,6.982
E02000017,2.966
E02000018,5.175
E02000019,5.598
E02000020,15.330
E02000021,6.062
E02000022,4.935
E02000023,4.953
E02000024,42.435
E02000025,29.027
E02000026,32.376
E02000027,21.783
E02000028,109.648
E02000029,43.924
E02000030,54.084
E02000031,104.977
E02000032,25.981
E02000033,19.932
E02000034,37.540
E02000035,66.777
E02000036,33.562
E02000037,27.597
E02000038,18.782
E02000039,136.299
E02000040,70.157
E02000041,110.388
E02000042,35.282
E02000043,23.869
E02000044,33.443
E02000045,20.938
E02000046,42.830
E02000047,28.823
E02000048,117.100
E02000049,11.622
E02000050,39.951
E02000051,62.264
E02000052,128.665
E02000053,16.304
E02000054,23.353
E02000055,93.622
E02000056,74.247
E02000057,23.521
E02000058,184.341
E02000059,42.688
E02000060,57.393
E02000061,60.550
E02000062,16.274
E02000063,62.852
E02000064,13.203
E02000065,5.106
E02000066,4.763
E02000067,12.862
E02000068,9.746
E02000069,6.969
E02000070,9.682
E02000071,6.631
E02000072,23.008
E02000073,23.438
E02000074,9.600
E02000075,18.857
E02000077,23.634
E02000078,15.447
E02000079,82.835
E02000080,34.683
E02000081,19.963
E02000082,21.556
E02000083,17.528
E02000084,32.001
E02000085,22.099
E02000086,19.224
E02000087,56.735
E02000088,24.674
E02000089,15.800
E02000090,76.308
E02000091,25.624
E02000092,18.676
E02000093,17.148
E02000094,11.984
E02000095,13.990
E02000096,22.643
E02000097,9.796
E02000098,11.856
E02000099,8.278
E02000100,7.981
E02000101,10.724
E02000102,7.096
E02000103,16.501
E02000104,5.600
E02000105,11.479
E02000106,9.936
E02000107,17.601
E02000108,4.960
E02000109,17.447
E02000110,7.954
E02000111,44.598
E02000112,9.962
E02000113,7.143
E02000114,14.024
E02000115,10.821
E02000116,8.263
E02000117,10.413
E02000118,10.994
E02000119,12.936
E02000120,7.480
E02000121,14.957
E02000122,7.018
E02000123,34.578
E02000124,8.799
E02000125,6.681
E02000126,39.203
E02000127,20.708
E02000128,29.880
E02000130,13.943
E02000131,8.965
E02000132,36.779
E02000133,58.802
E02000134,161.167
E02000135,6.786
E02000136,23.176
E02000137,28.698
E02000138,54.972
E02000139,29.149
E02000140,16.296
E02000141,5.628
E02000142,19.807
E02000144,43.783
E02000145,22.927
E02000146,29.249
E02000147,28.304
E02000148,18.294
E02000149,19.362
E02000150,22.028
E02000151,15.065
E02000152,19.045
E02000153,23.153
E02000154,122.497
E02000155,16.789
E02000156,78.421
E02000157,30.251
E02000158,20.569
E02000159,33.894
E02000160,31.502
E02000161,27.483
E02000162,30.969
E02000163,40.360
E02000165,41.449
E02000166,25.622
E02000167,107.427
E02000168,2.484
E02000169,22.766
E02000170,11.415
E02000171,13.168
E02000172,7.966
E02000173,25.371
E02000174,1.882
E02000175,13.348
E02000176,15.404
E02000177,8.113
E02000178,7.307
E02000179,16.063
E02000180,2.214
E02000181,7.075
E02000182,14.117
E02000183,5.010
E02000184,2.990
E02000185,8.940
E02000186,4.843
E02000187,2.569
E02000188,9.677
E02000189,0.219
E02000190,0.276
E02000191,0.331
E02000192,0.000
E02000193,0.000
E02000194,30.838
E02000195,11.408
E02000196,7.107
E02000197,14.104
E02000198,8.669
E02000199,5.451
E02000200,13.674
E02000201,4.499
E02000202,6.723
E02000203,6.401
E02000204,9.227
E02000206,9.403
E02000207,6.140
E02000208,9.560
E02000209,7.947
E02000210,8.178
E02000211,13.351
E02000212,22.131
E02000213,14.274
E02000214,7.752
E02000215,38.057
E02000216,10.336
E02000217,15.387
