msoa,estimated capacity
E02000001,612.30
E02000002,289.19
E02000003,393.53
E02000004,1492.66
E02000005,308.45
E02000007,1100.53
E02000008,0.58
E02000009,86.15
E02000010,0.00
E02000011,387.69
E02000012,462.11
E02000013,0.00
E02000014,226.24
E02000015,436.85
E02000016,1509.66
E02000017,164.18
E02000018,121.04
E02000019,3662.61
E02000020,1125.21
E02000021,1748.37
E02000022,1607.19
E02000023,551.04
E02000024,900.83
E02000025,1376.20
E02000026,397.88
E02000027,81.23
E02000028,320.64
E02000029,1113.75
E02000030,2635.96
E02000031,872.03
E02000032,260.50
E02000033,1452.35
E02000034,187.52
E02000035,283.52
E02000036,1357.86
E02000037,307.72
E02000038,1466.87
E02000039,351.30
E02000040,779.92
E02000041,1546.22
E02000042,1149.17
E02000043,0.00
E02000044,430.74
E02000045,1813.56
E02000046,730.27
E02000047,1966.31
E02000048,1186.41
E02000049,973.41
E02000050,2124.28
E02000051,566.30
E02000052,488.38
E02000053,3312.53
E02000054,826.98
E02000055,1176.05
E02000056,210.37
E02000057,460.97
E02000058,95.13
E02000059,3694.81
E02000060,78.46
E02000061,91.35
E02000062,6763.90
E02000063,836.22
E02000064,532.54
E02000065,1022.69
E02000066,280.63
E02000067,1102.34
E02000068,3200.74
E02000069,0.00
E02000070,101.33
E02000071,204.93
E02000072,11.65
E02000073,67.99
E02000074,0.00
E02000075,74.02
E02000077,170.47
E02000078,210.40
E02000079,1696.92
E02000080,1271.98
E02000081,537.69
E02000082,344.44
E02000083,2204.49
E02000084,134.34
E02000085,150.12
E02000086,313.83
E02000087,1296.69
E02000088,310.99
E02000089,81.19
E02000090,2984.31
E02000091,2049.19
E02000092,3513.40
E02000093,571.64
E02000094,1836.19
E02000095,266.55
E02000096,1109.05
E02000097,241.79
E02000098,212.81
E02000099,28.00
E02000100,979.15
E02000101,677.90
E02000102,26.57
E02000103,168.28
E02000104,58.74
E02000105,415.13
E02000106,268.73
E02000107,417.92
E02000108,171.86
E02000109,2847.94
E02000110,29.43
