msoa11cd,Representative ULEVs
E02000001,1067.0
E02000002,284.0
E02000003,703.0
E02000004,679.0
E02000005,608.0
E02000007,608.0
E02000008,608.0
E02000009,680.0
E02000010,343.0
E02000011,177.0
E02000012,415.0
E02000013,431.0
E02000014,343.0
E02000015,177.0
E02000016,415.0
E02000017,415.0
E02000018,846.0
E02000019,581.0
E02000020,415.0
E02000021,343.0
E02000022,415.0
E02000023,581.0
E02000024,997.0
E02000025,688.0
E02000026,1283.0
E02000027,685.0
E02000028,1032.0
E02000029,656.0
E02000030,1743.0
E02000031,720.0
E02000032,948.0
E02000033,1292.0
E02000034,665.0
E02000035,665.0
E02000036,1121.0
E02000037,1023.0
E02000038,1015.0
E02000039,536.0
E02000040,1283.0
E02000041,585.0
E02000042,747.0
E02000043,1091.0
E02000044,1879.0
E02000045,1028.0
E02000046,426.0
E02000047,1343.0
E02000048,1283.0
E02000049,1294.0
E02000050,1560.0
E02000051,426.0
E02000052,950.0
E02000053,1079.0
E02000054,321.0
E02000055,321.0
E02000056,2656.0
E02000057,967.0
E02000058,1722.0
E02000059,2088.0
E02000060,1655.0
E02000061,3104.0
E02000062,1976.0
E02000063,1655.0
E02000064,2783.0
E02000065,301.0
E02000066,210.0
E02000067,82.0
E02000068,318.0
E02000069,318.0
E02000070,628.0
E02000071,516.0
E02000072,689.0
E02000073,428.0
E02000074,871.0
E02000075,434.0
E02000077,428.0
E02000078,871.0
E02000079,495.0
E02000080,538.0
E02000081,882.0
E02000082,954.0
E02000083,617.0
E02000084,675.0
E02000085,718.0
E02000086,308.0
E02000087,247.0
E02000088,685.0
E02000089,921.0
E02000090,505.0
E02000091,505.0
E02000092,377.0
E02000093,1781.0
E02000094,758.0
E02000095,1259.0
E02000096,843.0
E02000097,758.0
E02000098,1601.0
E02000099,843.0
E02000100,1182.0
E02000101,1100.0
E02000102,3438.0
E02000103,1009.0
E02000104,342.0
E02000105,1781.0
E02000106,2680.0
E02000107,1009.0
E02000108,346.0
E02000109,342.0
E02000110,2680.0
E02000111,688.0
E02000112,2359.0
E02000113,1671.0
E02000114,2680.0
E02000115,1659.0
E02000116,2680.0
E02000117,1671.0
E02000118,2359.0
E02000119,1671.0
E02000120,650.0
E02000121,775.0
E02000122,3330.0
E02000123,1671.0
E02000124,3007.0
E02000125,1671.0
E02000126,1975.0
E02000127,812.0
E02000128,654.0
E02000130,753.0
E02000131,477.0
E02000132,651.0
E02000133,706.0
E02000134,1114.0
E02000135,102.0
E02000136,719.0
E02000137,1332.0
E02000138,864.0
E02000139,558.0
E02000140,481.0
E02000141,558.0
E02000142,876.0
E02000144,876.0
E02000145,604.0
E02000146,876.0
E02000147,1039.0
E02000148,1160.0
E02000149,714.0
E02000150,631.0
E02000151,714.0
E02000152,408.0
E02000153,583.0
E02000154,952.0
E02000155,714.0
E02000156,1546.0
E02000157,714.0
E02000158,714.0
E02000159,961.0
E02000160,583.0
E02000161,430.0
E02000162,685.0
E02000163,969.0
E02000165,538.0
E02000166,2108.0
E02000167,1778.0
E02000168,486.0
E02000169,1778.0
E02000170,2787.0
E02000171,1382.0
E02000172,2045.0
E02000173,1128.0
E02000174,1610.0
E02000175,1778.0
E02000176,1128.0
E02000177,2045.0
E02000178,2787.0
E02000179,1128.0
E02000180,1378.0
E02000181,650.0
E02000182,2368.0
E02000183,2381.0
E02000184,1417.0
E02000185,1671.0
E02000186,663.0
E02000187,1878.0
E02000188,663.0
E02000189,1970.0
E02000190,814.0
E02000191,898.0
E02000192,314.0
E02000193,517.0
E02000194,321.0
E02000195,1274.0
E02000196,1094.0
E02000197,888.0
E02000198,907.0
E02000199,727.0
E02000200,516.0
E02000201,141.0
E02000202,1094.0
E02000203,1642.0
E02000204,2032.0
E02000206,1665.0
E02000207,1079.0
E02000208,1524.0
E02000209,1524.0
E02000210,1079.0
E02000211,938.0
E02000212,1526.0
E02000213,1700.0
E02000214,938.0
E02000215,1845.0
E02000216,915.0
E02000217,1318.0
E02000218,1394.0
E02000219,1320.0
E02000220,1700.0
E02000221,1639.0
E02000222,1877.0
E02000223,915.0
E02000224,701.0
E02000225,1320.0
E02000226,1320.0
E02000227,1320.0
E02000228,631.0
E02000229,938.0
E02000230,1032.0
E02000231,1281.0
E02000232,726.0
E02000233,701.0
E02000234,1281.0
E02000235,950.0
E02000236,580.0
E02000237,1281.0
E02000238,711.0
E02000239,775.0
E02000240,282.0
E02000241,711.0
E02000242,775.0
E02000243,429.0
E02000244,429.0
E02000245,3422.0
E02000246,282.0
E02000247,905.0
E02000248,3243.0
E02000249,623.0
E02000250,1503.0
E02000251,623.0
E02000252,3580.0
E02000253,431.0
E02000254,194.0
E02000255,2715.0
E02000256,1503.0
E02000257,1909.0
E02000258,683.0
E02000259,154.0
E02000260,623.0
E02000261,1033.0
E02000262,683.0
E02000263,389.0
E02000264,2612.0
E02000265,1657.0
E02000266,972.0
E02000267,431.0
E02000268,1503.0
E02000269,1503.0
E02000270,1276.0
E02000271,1386.0
E02000272,626.0
E02000274,195.0
E02000275,195.0
E02000276,1486.0
E02000277,451.0
E02000278,766.0
E02000279,490.0
E02000280,1468.0
E02000281,536.0
E02000282,586.0
E02000283,271.0
E02000284,667.0
E02000285,315.0
E02000286,221.0
E02000287,907.0
E02000288,872.0
E02000289,754.0
E02000290,718.0
E02000291,807.0
E02000292,657.0
E02000293,783.0
E02000294,613.0
E02000295,533.0
E02000296,598.0
E02000297,904.0
E02000298,459.0
E02000299,342.0
E02000300,657.0
E02000301,342.0
E02000302,1036.0
E02000303,752.0
E02000304,848.0
E02000305,459.0
E02000306,495.0
E02000307,707.0
E02000308,848.0
E02000309,757.0
E02000311,365.0
E02000312,1105.0
E02000313,173.0
E02000314,285.0
E02000315,112.0
E02000316,503.0
E02000317,503.0
E02000318,670.0
E02000319,558.0
E02000320,112.0
E02000321,558.0
E02000323,385.0
