MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02000166,"Highgate West",0,2108.0,279.69,25.622,12,0.00,0.00,0.00,0
E02000167,"Hampstead Town",0,1778.0,351.97,107.427,18,0.00,0.00,0.00,0
E02000168,"Tufnell Park West",0,486.0,178.28,2.484,22,0.00,0.00,10314.18,0
E02000169,"Frognal",0,1778.0,129.63,22.766,29,0.00,0.00,0.00,0
E02000170,"Fortune Green",0,2787.0,34.35,11.415,15,0.00,0.00,0.00,0
E02000171,"Mansfield Road & Park Hill Road",0,1382.0,215.07,13.168,10,0.00,0.00,0.00,0
E02000172,"Kentish Town West",0,2045.0,239.66,7.966,11,0.00,401.88,0.00,0
E02000173,"Fitzjohns & Royal Free",0,1128.0,541.90,25.371,15,0.00,0.00,0.00,0
E02000174,"Kentish Town East",0,1610.0,98.18,1.882,18,0.00,1392.07,1657.27,0
E02000175,"West Hampstead",0,1778.0,830.79,13.348,14,0.00,4189.03,0.00,0
E02000176,"Belsize Park",0,1128.0,136.22,15.404,15,0.00,0.00,0.00,0
E02000177,"Chalk Farm",0,2045.0,87.39,8.113,9,0.00,554.51,0.00,0
E02000178,"Kilburn Grange",0,2787.0,51.50,7.307,18,0.00,563.01,0.00,0
E02000179,"Adelaide Road",0,1128.0,365.32,16.063,8,0.00,141.80,0.00,0
E02000180,"Camden Road South",0,1378.0,107.35,2.214,19,0.00,0.00,0.00,0
E02000181,"South Hampstead",0,650.0,109.74,7.075,14,0.00,0.00,0.00,0
E02000182,"Swiss Cottage",0,2368.0,212.96,14.117,10,0.00,0.00,0.00,0
E02000183,"Primrose Hill",0,2381.0,261.37,5.010,20,0.00,1469.72,0.00,0
E02000184,"Camden Street & Elm Village",0,1417.0,265.93,2.990,10,0.00,4898.03,0.00,0
E02000185,"Kilburn East",0,1671.0,219.00,8.940,7,0.00,4793.05,0.00,0
E02000186,"Camden Town & Mornington Crescent",0,663.0,464.08,4.843,12,0.00,2996.81,0.00,0
E02000187,"Somers Town",0,1878.0,35.00,2.569,16,0.00,164.97,483.76,0
E02000188,"Euston",0,663.0,304.54,9.677,8,0.00,0.00,15667.07,0
E02000189,"Gray's Inn Road",0,1970.0,109.53,0.219,5,0.00,0.00,0.00,0
E02000190,"Bloomsbury East",0,814.0,86.72,0.276,0,0.00,2481.85,0.00,0
E02000191,"Fitzrovia East & Bloomsbury West",0,898.0,95.15,0.331,25,0.00,2914.13,268.33,0
E02000192,"Hatton Garden & Theobalds Road",0,314.0,550.15,0.000,10,0.00,0.00,0.00,0
E02000193,"Holborn",0,517.0,646.05,0.000,33,0.00,29.69,0.00,0
