MSOA,index-of-transport-accesibility,chargepoints
E02000619,0,0.04
E02000620,0,0.12
E02000621,0,0.05
E02000622,0,0.05
E02000623,0,0.01
E02000624,0,0.04
E02000625,0,0.08
E02000626,0,0.02
E02000627,0,0.05
E02000628,0,0.04
E02000629,0,0.05
E02000630,0,0.05
E02000631,0,0.12
E02000632,0,0.06
E02000633,0,0.02
E02000634,0,0.00
E02000635,0,0.06
E02000636,0,0.12
E02000637,0,0.08
E02000638,0,0.05
E02000639,0,0.02
E02000640,0,0.09
E02000641,0,0.03
E02000642,0,0.05
E02000643,0,0.08
E02000644,0,0.05
E02000645,0,0.07
E02000646,0,0.03
E02000647,0,0.05
E02000648,0,0.03
E02000649,0,0.09
E02000650,0,0.06
E02000651,0,0.03
E02000652,0,0.01
E02006801,0,0.08
