MSOA,index-of-transport-accesibility,chargepoints
E02001768,0.057,0.10
E02001769,0.103,0.12
E02001770,0.079,0.00
E02001771,0.066,0.01
E02001772,0.102,0.00
E02001773,0.102,0.00
E02001774,0.205,0.08
E02001775,0.078,0.01
E02001776,0.074,0.01
E02001777,0.069,0.01
E02001778,0.084,0.01
E02001779,0.216,0.08
E02001780,0.132,0.01
E02001781,0.31,0.01
E02001782,0.178,0.01
E02001783,0.202,0.01
E02001784,0.326,0.01
E02001785,0.088,0.02
E02001786,0.099,0.00
E02001787,0.289,0.01
E02001788,0.175,0.01
E02001789,0.128,0.00
E02001790,0.194,0.03
