MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02006217,"Coton Farm & Perry Crofts",0,140.0,587.81,22.566,2,17786.31
E02006218,"Central Tamworth",0,537.0,5274.08,32.566,1,0.00
E02006219,"Amington",0,375.0,758.63,20.721,0,0.00
E02006220,"Bolehall",0,537.0,627.17,24.892,0,0.00
E02006221,"Kettlebrook",0,537.0,6148.95,57.030,1,0.00
E02006222,"Belgrave",0,397.0,156.83,13.084,0,0.00
E02006223,"Glascote Heath",0,375.0,316.82,11.743,0,0.00
E02006224,"Wilnecote East",0,235.0,1463.35,14.496,1,33067.61
E02006225,"Dosthill & Two Gates",0,235.0,274.69,16.971,0,0.00
E02006226,"Wilnecote West & Hockley",0,235.0,2444.08,28.049,1,1913.83
