MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02003652,"Buckingham South",0,1110.0,13696.86,54.512,7,0.00,11245.22,0.00,5.32
E02003653,"Buckingham North",0,1065.0,469.63,67.763,9,0.00,1727.25,0.00,0.8
E02003654,"Newton Longville & Great Horwood",0,839.0,346.41,43.917,0,0.00,0.00,0.00,0
E02003655,"Marsh Gibbon",0,615.0,10668.65,74.120,0,0.00,0.00,575.98,0
E02003656,"Winslow & Padbury",0,685.0,357.40,38.225,1,0.00,624.84,0.00,0
E02003657,"Granborough",0,2482.0,1060.71,40.723,1,0.00,0.00,0.00,0.91
E02003658,"Wing",0,934.0,646.19,49.920,0,0.00,0.00,0.00,1.77
E02003659,"Waddesdon & Whitchurch",0,1145.0,4160.08,51.768,1,0.00,0.00,0.00,0.78
E02003660,"Cheddington",0,1303.0,1269.90,38.879,1,0.00,0.00,25090.24,0
E02003661,"Oakley",0,747.0,478.41,59.391,6,0.00,0.00,0.00,0
E02003662,"Watermead & Elmhurst",0,228.0,576.38,12.283,1,0.00,0.00,0.00,0.15
E02003663,"Berryfields & Haydon Hill",0,805.0,3584.85,51.679,4,0.00,13779.27,0.00,6.6
E02003664,"Gatehouse",0,228.0,970.75,26.959,7,0.00,0.00,0.00,12.93
E02003665,"Victoria Park",0,63.0,1299.26,5.411,2,0.00,8072.31,0.00,1.11
E02003666,"Aylesbury Central",0,499.0,5335.75,43.381,10,0.00,9637.65,0.00,1.91
E02003667,"Fairford Leys",0,436.0,3697.31,18.625,0,0.00,0.00,0.00,0
E02003668,"Bedgrove & Walton",0,175.0,741.22,17.023,0,0.00,0.00,0.00,0
E02003669,"California & Southcourt",0,112.0,99.51,10.186,1,0.00,0.00,0.00,0
E02003670,"Mandeville & Elm Farm",0,497.0,1546.37,17.506,1,0.00,2360.47,0.00,3.73
E02003671,"Walton Court & Hawkslade",0,112.0,172.46,8.769,2,0.00,0.00,0.00,0
E02003672,"Stoke Mandeville & Aston Clinton",0,1176.0,2614.33,81.131,2,0.00,0.00,4234.58,6.53
E02003673,"Haddenham",0,1029.0,1329.48,28.650,1,0.00,229.11,0.00,0
E02003674,"Worminghall",0,406.0,258.13,45.838,0,0.00,0.00,0.00,0
E02003675,"Wendover",0,1406.0,3908.05,95.046,0,0.00,692.58,0.00,0
E02003676,"Hyde Heath",0,2463.0,861.34,49.205,0,0.00,0.00,0.00,7.15
E02003677,"Chesham West",0,283.0,7.38,58.031,4,0.00,0.00,0.00,4.15
E02003678,"Chesham East",0,283.0,66.47,20.534,0,0.00,0.00,0.00,0.52
E02003679,"Chesham South",0,283.0,1562.18,37.115,2,0.00,0.00,0.00,2.536
E02003680,"Great Missenden & Prestwood",0,318.0,1385.73,76.250,2,0.00,579.05,0.00,0.78
E02003681,"Amersham-on-the-Hill & Chesham Bois",0,479.0,2254.96,133.958,4,0.00,0.00,0.00,1.68
E02003682,"Old Amersham",0,762.0,1079.68,51.969,5,0.00,7750.24,0.00,0.62
E02003683,"Little Chalfont",0,479.0,1918.81,46.057,7,0.00,0.00,0.00,3.85
E02003685,"Chalfont St Giles",0,909.0,1015.74,67.298,0,0.00,0.00,0.00,1.13
E02003686,"Chalfont Common & St Peter East",0,1064.0,1583.73,74.006,1,0.00,1460.73,0.00,49.63
E02003687,"Chalfont St Peter West",0,788.0,559.68,40.338,0,0.00,0.00,0.00,0.29
E02003688,"Beaconsfield Town",0,778.0,1940.97,160.818,1,0.00,9839.46,444.08,44.96
E02003689,"Gerrards Cross",0,1218.0,1429.07,137.411,2,0.00,5410.33,0.00,15.29
E02003690,"Denham",0,1444.0,3003.39,28.136,9,0.00,0.00,1683.34,0.46
E02003691,"Farnham & Hedgerley",0,2081.0,1376.42,33.183,3,0.00,0.00,0.00,0.98
E02003692,"Stoke Poges & George Green",0,5354.0,3130.67,37.203,0,0.00,0.00,0.00,0.48
E02003693,"Burham North",0,31743.0,3205.54,33.520,6,0.00,6202.55,0.00,3.75
E02003694,"Burnham South",0,27446.0,424.20,13.636,0,0.00,0.00,0.00,0.52
E02003695,"Iver & Richings Park",0,985.0,3698.58,50.153,0,0.00,0.00,0.00,45.93
E02003696,"Princes Risborough",0,346.0,2034.91,87.692,4,0.00,3934.04,0.00,9.42
E02003697,"Longwick",0,1642.0,875.76,56.046,0,0.00,0.00,0.00,0.37
E02003698,"Walter's Ash & Hughenden Valley",0,903.0,804.54,43.682,0,0.00,0.00,0.00,7.61
E02003699,"Stokenchurch",0,534.0,864.10,33.952,0,0.00,0.00,0.00,10.33
E02003701,"Downley",0,695.0,1184.07,28.329,2,0.00,5899.68,0.00,2.27
E02003702,"Bledlow",0,2585.0,1752.44,69.888,0,0.00,0.00,0.00,15.79
E02003703,"Terriers & Amersham Hill",0,258.0,205.40,26.392,3,0.00,0.00,0.00,1.59
E02003704,"Tylers Green",0,652.0,330.59,23.866,0,0.00,0.00,0.00,0.09
E02003705,"Bowerdean",0,258.0,415.23,14.582,0,0.00,0.00,0.00,0.79
E02003706,"Totteridge",0,258.0,163.18,15.546,0,0.00,0.00,0.00,0.16
E02003707,"Sands",0,198.0,928.66,12.774,0,0.00,0.00,0.00,0.96
E02003708,"Oakridge & Castlefield",0,356.0,191.35,14.692,1,0.00,1889.09,0.00,6.84
E02003709,"Micklefield",0,258.0,108.57,13.859,2,0.00,0.00,0.00,0
E02003710,"Town Centre & Marlow Hill",0,1224.0,4178.86,158.795,5,0.00,12335.61,22985.46,7.35
E02003711,"Ryemead & Wycombe Marsh",0,652.0,1695.33,27.892,6,0.00,3281.67,0.00,5.09
E02003712,"Lane End & Booker",0,1014.0,3744.55,27.162,1,0.00,9418.72,0.00,0.38
E02003713,"Flackwell Heath",0,236.0,150.24,24.142,0,0.00,0.00,0.00,0
E02003714,"Loudwater & Wooburn Green",0,862.0,1035.52,38.375,2,0.00,5416.76,1264.51,0.42
E02003715,"Marlow Bottom",0,2347.0,1211.84,39.652,1,0.00,0.00,0.00,2.68
E02003716,"Bourne End",0,27463.0,287.67,55.731,1,0.00,680.36,0.00,0.36
E02003717,"Marlow West & North",0,777.0,1628.55,56.876,4,0.00,1980.58,0.00,1.92
E02003718,"Marlow East",0,777.0,2028.34,84.748,9,0.00,802.14,1958.65,2.17
E02006823,"Knotty Green & Holmer Green",0,913.0,448.71,51.699,0,0.00,0.00,0.00,0.87
E02006824,"Hazlemere",0,629.0,546.23,41.985,0,0.00,0.00,0.00,1.01
