MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
W02000097,"Llanfyllin & Llanwyddyn",0,251.0,1265.78,28.506,0,0.00,676.95,0.00,0
W02000098,"Four Crosses & Guilsfield",0,276.0,487.07,12.420,0,0.00,0.00,0.00,0
W02000099,"Welshpool",0,101.0,5772.20,15.831,2,0.00,10927.05,8482.45,0
W02000100,"Machynlleth & Banwy",0,108.0,1302.34,2.073,2,0.00,1193.23,350.56,0
W02000101,"Montgomery",0,256.0,828.52,12.983,0,0.00,47.42,0.00,0
W02000102,"Llanfair Caereinion & Caersws",0,150.0,260.37,13.755,1,0.00,251.87,0.00,0
W02000103,"Abermule",0,409.0,674.96,13.511,1,0.00,4026.45,0.00,0
W02000104,"Newtown North",0,80.0,3550.89,14.851,5,0.00,12754.33,899.34,0
W02000105,"Newtown South",0,59.0,719.64,4.139,0,0.00,2067.66,0.00,0
W02000106,"Llanidloes",0,99.0,2093.76,16.519,2,0.00,702.83,0.00,0
W02000107,"Knighton & Presteigne",0,192.0,1136.74,15.958,3,0.00,1559.55,0.00,0
W02000108,"Rhayader",0,171.0,1013.90,4.193,0,0.00,0.00,0.00,0
W02000109,"Llandrindod Wells",0,91.0,2368.78,7.796,3,0.00,6886.56,0.00,0
W02000110,"Builth Wells & Llanwrtyd Wells",0,100.0,1385.38,0.660,2,0.00,447.07,0.00,0
W02000111,"Hay-on-Wye & Talgarth",0,392.0,1542.37,23.618,0,0.00,0.00,0.00,0
W02000113,"Brecon",0,123.0,2495.00,21.704,5,0.00,6276.42,0.00,0
W02000114,"Crickhowell",0,306.0,1032.45,20.349,0,0.00,0.00,0.00,0
W02000414,"Sennybridge & Talybont-on-Usk",0,231.0,1245.19,17.688,2,0.00,0.00,0.00,0
W02000416,"Ystradgynlais & Tawe Uchaf",0,292.0,1716.16,20.012,2,0.00,5001.12,0.00,0
