MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02006710,"Tenbury Wells",0,420.0,734.86,31.417,0,0.00,2543.20,441.13
E02006711,"Abberley",0,435.0,2654.98,40.894,0,0.00,0.00,0.00
E02006712,"Broadheath",0,446.0,1026.63,33.345,0,0.00,0.00,0.00
E02006713,"Malvern Link",0,330.0,2648.29,18.026,2,0.00,9780.66,0.00
E02006714,"Colletts Green",0,749.0,829.22,22.372,1,0.00,0.00,0.00
E02006715,"North Malvern",0,330.0,776.36,21.701,0,0.00,0.00,380.37
E02006716,"Malvern Pickersleigh",0,330.0,637.81,15.705,0,0.00,0.00,0.00
E02006717,"Kempsey & Ryall",0,1526.0,2094.25,21.704,2,0.00,0.00,0.00
E02006718,"Barnard's Green",0,330.0,1529.59,18.808,0,0.00,0.00,0.00
E02006719,"Malvern Wells & Priory",0,330.0,2213.41,61.550,3,0.00,3082.08,0.00
E02006720,"Upton-upon-Severn",0,1387.0,1031.78,38.303,0,0.00,0.00,0.00
