MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
W02000314,"Rassau & Beaufort",0,75.0,0.00,5.727,0,0.00
W02000315,"Bryn-mawr",0,51.0,0.00,4.514,2,0.00
W02000316,"Sirhowy",0,24.0,0.00,4.812,0,0.00
W02000317,"Ebbw Vale North & Glyncoed",0,51.0,0.00,5.541,3,0.00
W02000318,"Blaina & Nantyglo",0,73.0,0.00,5.507,4,0.00
W02000319,"Tredegar & Georgetown",0,75.0,0.00,6.403,0,0.00
W02000320,"Ebbw Vale South & Cwm",0,51.0,0.00,7.892,4,0.00
W02000321,"Abertillery North & Cwmtillery",0,22.0,0.00,4.786,4,0.00
W02000322,"Abertillery South & Llanhilleth",0,157.0,0.00,3.642,0,0.00
