MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02005538,"Hemsby & Ormesby",0,98.0,1152.27,19.237,0,0,0.00,0.00,0.00,9.98
E02005539,"Fleggburgh",0,358.0,1405.02,18.912,0,0,0.00,789.95,0.00,1.24
E02005540,"Caister on Sea",0,56.0,1116.67,4.002,2,0,0.00,4411.11,0.00,1.55
E02005541,"Yarmouth North",0,56.0,664.76,1.919,0,0,0.00,0.00,0.00,1.539323
E02005542,"Yarmouth Central & Northgate",0,267.0,4284.97,13.921,7,0,0.00,16061.49,0.00,44.726
E02005543,"Yarmouth Parade",0,169.0,2331.40,6.204,2,0,0.00,0.00,1965.55,1.85
E02005544,"Southtown & Cobholm",0,267.0,3870.77,8.374,2,0,0.00,11711.09,6950.21,2.98
E02005545,"Bradwell North",0,113.0,607.84,6.496,1,0,0.00,2067.05,3127.96,0.13
E02005546,"Gorleston North",0,113.0,372.79,8.208,1,0,0.00,937.99,0.00,6.07
E02005547,"Gorleston South & Beach",0,113.0,1917.16,10.315,2,0,0.00,3982.77,0.00,0.26
E02005548,"Gorleston West",0,113.0,1174.77,6.364,0,0,0.00,0.00,0.00,3.11
E02005549,"Belton",0,113.0,556.20,6.803,0,0,0.00,423.30,0.00,0.47
E02005550,"Bradwell South & Hopton",0,113.0,1233.02,9.305,1,0,0.00,0.00,0.00,0
