MSOA,index-of-transport-accesibility,chargepoints
E02001429,0.091,0.00
E02001430,0.112,0.00
E02001431,0.096,0.00
E02001432,0.099,0.01
E02001433,0.12,0.00
E02001434,0.117,0.00
E02001435,0.126,0.00
E02001436,0.158,0.03
E02001437,0.115,0.00
E02001438,0.169,0.00
E02001439,0.165,0.00
E02001440,0.162,0.00
E02001441,0.07,0.01
E02001442,0.178,0.00
E02001443,0.135,0.00
E02001444,0.2,0.01
E02001445,0.239,0.00
E02001446,0.349,0.00
E02001447,0.242,0.00
E02001448,0.331,0.01
E02001449,0.192,0.00
E02001450,0.077,0.00
E02001451,0.133,0.00
E02001452,0.127,0.00
E02001453,0.107,0.00
E02001454,0.162,0.00
E02001455,0.278,0.03
E02001456,0.061,0.01
E02001457,0.242,0.00
E02001458,0.071,0.00
E02001459,0.108,0.00
E02001460,0.099,0.01
E02001461,0.101,0.00
E02001462,0.075,0.00
E02001463,0.107,0.01
E02001464,0.087,0.00
E02001465,0.108,0.00
E02001466,0.131,0.00
