MSOA,Name,index-of-transport-accesibility,chargepoints
E02000577,"Golborne & Swinbrook",0,15
E02000578,"Ladbroke Grove",0,18
E02000579,"North Kensington",0,39
E02000580,"Portobello",0,28
E02000581,"Notting Dale",0,19
E02000582,"Notting Hill Gate",0,32
E02000583,"Notting Hill West",0,54
E02000584,"Notting Hill South",0,29
E02000585,"Holland Park",0,39
E02000586,"Queen's Gate",0,36
E02000587,"Kensington Abingdon",0,33
E02000588,"Hans Town",0,53
E02000589,"Kensington Gardens",0,17
E02000590,"Brompton",0,22
E02000591,"Earl's Court",0,20
E02000592,"South Kensington",0,39
E02000593,"West Brompton",0,33
E02000594,"Chelsea Manor & Royal Hospital",0,36
E02000595,"Chelsea Riverside East",0,35
E02000596,"Fulham Road",0,27
E02000597,"Chelsea Riverside West",0,16
