MSOA,index-of-transport-accesibility,chargepoints
E02000923,0,0.05
E02000924,0,0.05
E02000925,0,0.03
E02000926,0,0.14
E02000927,0,0.17
E02000928,0,0.13
E02000929,0,0.02
E02000930,0,0.12
E02000931,0,0.70
E02000932,0,0.37
E02000933,0,0.07
E02000934,0,0.05
E02000935,0,0.03
E02000936,0,0.08
E02000937,0,0.17
E02000938,0,0.03
E02000939,0,0.30
E02000940,0,0.12
E02000941,0,0.10
E02000942,0,0.09
E02000943,0,0.13
E02000944,0,0.02
E02000945,0,0.06
E02000946,0,0.10
E02000947,0,0.08
E02000948,0,0.04
E02000949,0,0.08
E02000950,0,0.01
E02000951,0,0.07
E02000952,0,0.05
E02000953,0,0.05
E02000954,0,0.05
E02000955,0,0.02
E02000956,0,0.04
E02000957,0,0.02
E02000958,0,0.02
E02000959,0,0.05
