E02003389	Caversham Emmer Green
E02003390	Caversham Heights
E02003391	Caversham Balmore Park
E02003392	Lower Caversham
E02003393	Tilehurst North
E02003394	Norcot North
E02003395	Battle & Caversham Bridge
E02003396	Norcot South
E02003397	Tilehurst South
E02003398	Palmer Park
E02003399	Reading Central
E02003400	Wokingham Road
E02003401	Coley Park
E02003402	Southampton Street & Redlands Road
E02003403	Southcote
E02003404	Leighton Park
E02003405	Kennet Island & Green Park
E02003406	Whitley Wood
