MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02003892,"Gunnislake & Calstock",0,192.0,807.28,12.327,0,0.00,0.00,0.00
E02003893,"St Neot & St Cleer",0,334.0,1358.82,16.201,0,0.00,0.00,0.00
E02003894,"Callington & Pensilva",0,179.0,718.76,20.636,4,0.00,4345.72,0.00
E02003895,"Dobwalls",0,103.0,1042.98,17.740,0,0.00,7804.90,0.00
E02003896,"Liskeard",0,103.0,1302.29,23.883,1,1267.25,1508.99,0.00
E02003897,"Saltash Latchbrook & St Stephens",0,116.0,1709.58,13.573,2,0.00,6460.74,0.00
E02003898,"St Germans & St Mellion",0,346.0,1313.59,20.962,0,0.00,0.00,0.00
E02003899,"Mid Saltash",0,116.0,343.85,10.299,2,0.00,0.00,0.00
E02003900,"Saltash Town & Pillmere",0,116.0,1216.67,19.508,2,0.00,651.55,0.00
E02003901,"Lanreath",0,274.0,1011.22,16.843,2,0.00,0.00,2065.95
E02003902,"Torpoint",0,29.0,292.93,5.294,0,0.00,1722.83,0.00
E02003903,"Kingsand",0,49.0,2697.22,4.388,0,0.00,185.83,699.48
E02003904,"Looe & Polperro",0,44.0,2200.79,10.653,3,0.00,734.52,0.00
E02003905,"Grampound Road",0,422.0,1758.22,23.155,1,0.00,0.00,0.00
E02003906,"Perranporth & Goonhavern",0,249.0,2306.05,28.530,2,0.00,510.86,0.00
E02003907,"St Agnes & Mount Hawke",0,257.0,1254.28,22.066,2,0.00,0.00,0.00
E02003908,"Truro East",0,144.0,1073.66,15.459,6,0.00,4820.19,0.00
E02003909,"Truro West",0,370.0,4632.05,25.316,8,0.00,1303.17,0.00
E02003910,"Truro South & Central",0,621.0,3221.84,63.101,12,0.00,17653.25,0.00
E02003911,"Shortlanesend",0,515.0,1164.30,43.589,1,0.00,286.62,0.00
E02003912,"Probus & Roseland",0,352.0,2805.66,28.827,0,0.00,0.00,0.00
E02003913,"Mylor Bridge & Frogpool",0,569.0,146.19,23.606,0,0.00,0.00,0.00
E02003914,"Penryn",0,250.0,1294.43,17.137,0,0.00,9596.34,0.00
E02003915,"Falmouth North",0,250.0,899.47,14.859,2,0.00,4294.09,0.00
E02003916,"Falmouth East",0,196.0,1930.25,18.215,1,0.00,0.00,0.00
E02003917,"Falmouth West & South",0,196.0,1342.24,11.286,0,0.00,0.00,0.00
E02003918,"Illogan & Portreath",0,360.0,842.99,10.512,3,0.00,215.48,44076.37
E02003919,"Redruth North",0,167.0,3196.39,11.350,5,14475.39,4181.13,0.00
E02003920,"Redruth South",0,167.0,566.90,14.340,0,0.00,206.90,0.00
E02003921,"St Day & Lanner",0,167.0,124.83,11.989,0,0.00,0.00,0.00
E02003922,"Pool & Illogan Highway",0,254.0,5888.58,11.230,7,22446.49,18193.04,6855.06
E02003923,"Camborne East",0,161.0,1791.04,12.805,6,182.34,5004.49,0.00
E02003924,"Camborne West",0,151.0,1292.88,15.477,0,0.00,1683.13,0.00
E02003925,"Camborne South",0,87.0,126.04,8.013,0,0.00,0.00,0.00
E02003926,"Crowan",0,741.0,389.37,23.687,0,0.00,0.00,414.92
E02003927,"Ponsanooth",0,502.0,2734.97,37.800,0,0.00,0.00,0.00
E02003928,"Helston",0,132.0,4320.72,16.396,2,0.00,16671.75,0.00
E02003929,"Porthleven",0,165.0,2015.95,13.422,5,0.00,0.00,0.00
E02003930,"The Lizard",0,132.0,4790.19,21.540,1,0.00,363.83,0.00
E02003931,"Bude & Stratton",0,93.0,3164.22,21.417,2,0.00,9854.57,0.00
E02003932,"Poundstock & Kilkhampton",0,254.0,2440.65,15.553,0,0.00,467.59,559.04
E02003933,"Crackington & Tintagel",0,207.0,1949.49,5.628,0,0.00,0.00,0.00
E02003934,"Camelford & Tresmeer",0,300.0,919.46,15.528,2,0.00,1087.35,634.90
E02003935,"Launceston",0,102.0,1646.77,19.063,0,0.00,7412.94,0.00
E02003936,"Altarnun & Stoke Climsland",0,169.0,2139.55,22.862,0,0.00,0.00,1568.95
E02003937,"Trebetherick & Whitecross",0,268.0,3031.34,20.172,10,0.00,6788.92,0.00
E02003938,"Padstow & St Issey",0,189.0,4703.73,17.416,4,0.00,1750.14,0.00
E02003939,"Wadebridge",0,104.0,729.47,19.232,0,0.00,3249.85,0.00
