MSOA,index-of-transport-accesibility,chargepoints
E02000166,0,0.07
E02000167,0,0.10
E02000168,0,0.13
E02000169,0,0.17
E02000170,0,0.09
E02000171,0,0.06
E02000172,0,0.06
E02000173,0,0.09
E02000174,0,0.10
E02000175,0,0.08
E02000176,0,0.09
E02000177,0,0.05
E02000178,0,0.10
E02000179,0,0.05
E02000180,0,0.11
E02000181,0,0.08
E02000182,0,0.06
E02000183,0,0.12
E02000184,0,0.06
E02000185,0,0.04
E02000186,0,0.07
E02000187,0,0.09
E02000188,0,0.05
E02000189,0,0.03
E02000190,0,0.00
E02000191,0,0.15
E02000192,0,0.06
E02000193,0,0.19
