MSOA,index-of-transport-accesibility,chargepoints
S02002135,0,0
S02002136,0,0
S02002137,0,0
S02002138,0,0
S02002139,0,0
S02002140,0,0
S02002141,0,0
S02002142,0,0
S02002143,0,0
S02002144,0,0
S02002145,0,0
S02002146,0,0
S02002147,0,0
S02002148,0,0
S02002149,0,0
S02002150,0,0
S02002151,0,0
S02002152,0,0
S02002153,0,0
S02002154,0,0
S02002155,0,0
S02002156,0,0
S02002157,0,0
S02002158,0,0
S02002159,0,0
S02002160,0,0
S02002161,0,0
S02002162,0,0
S02002163,0,0
S02002164,0,0
S02002165,0,0
S02002166,0,0
S02002167,0,0
S02002168,0,0
S02002169,0,0
S02002170,0,0
S02002171,0,0
S02002172,0,0
S02002173,0,0
S02002174,0,0
S02002175,0,0
S02002176,0,0
S02002177,0,0
S02002178,0,0
S02002179,0,0
S02002180,0,0
S02002181,0,0
S02002182,0,0
S02002183,0,0
S02002184,0,0
S02002185,0,0
S02002186,0,0
S02002187,0,0
S02002188,0,0
S02002189,0,0
S02002190,0,0
S02002191,0,0
S02002192,0,0
S02002193,0,0
S02002194,0,0
S02002195,0,0
S02002196,0,0
S02002197,0,0
S02002198,0,0
S02002199,0,0
S02002200,0,0
S02002201,0,0
S02002202,0,0
S02002203,0,0
S02002204,0,0
S02002205,0,0
S02002206,0,0
S02002207,0,0
S02002208,0,0
S02002209,0,0
S02002210,0,0
S02002211,0,0
S02002212,0,0
