MSOA,index-of-transport-accesibility,chargepoints
E02002043,0,0.03
E02002044,0,0.00
E02002045,0,0.00
E02002046,0,0.00
E02002047,0,0.01
E02002048,0,0.01
E02002049,0,0.00
E02002051,0,0.01
E02002052,0,0.00
E02002053,0,0.00
E02002054,0,0.00
E02002055,0,0.00
E02002056,0,0.00
E02002057,0,0.00
E02002058,0,0.00
E02002059,0,0.02
E02002060,0,0.01
E02002061,0,0.02
E02002062,0,0.00
E02002063,0,0.00
E02002064,0,0.00
E02002065,0,0.00
E02002066,0,0.00
E02002067,0,0.00
E02002068,0,0.00
E02002069,0,0.00
E02002070,0,0.00
E02002071,0,0.00
E02002072,0,0.01
E02002073,0,0.00
E02002074,0,0.00
E02002075,0,0.01
E02002076,0,0.00
E02002077,0,0.01
E02002078,0,0.00
E02002079,0,0.00
E02002080,0,0.00
E02006810,0,0.00
