MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02001611,"Stocksbridge",434,174.0,2174.83,40.177,0,5.63,0.00,3576.53,0.00,17.53
E02001612,"Deepcar & Bolsterstone",460,1397.0,360.49,23.409,0,0.00,0.00,0.00,0.00,25.69
E02001613,"High Green & Burncross",413,1223.0,477.89,27.546,0,5.63,0.00,499.70,0.00,1.38
E02001614,"Chapeltown",435,1223.0,1215.92,46.842,0,5.63,0.00,0.00,0.00,1.55
E02001615,"Grenoside & Ecclesfield North",406,1598.0,1593.98,23.906,1,5.67,0.00,7290.30,0.00,0.24
E02001616,"Ecclesfield South",386,1304.0,67.30,10.558,0,5.20,0.00,0.00,0.00,6.02
E02001617,"Shiregreen North",423,321.0,227.45,3.761,0,5.67,0.00,0.00,0.00,0.4
E02001618,"Oughtibridge & Bradfield",301,1617.0,1191.00,28.224,0,5.63,0.00,0.00,0.00,17.43
E02001619,"Parson Cross",350,1524.0,501.15,9.221,4,5.20,0.00,9260.86,0.00,11.73
E02001620,"Shiregreen South",404,1524.0,437.46,8.092,0,5.67,0.00,0.00,0.00,0
E02001621,"Sheffield Lane Top & Longley Park",360,81.0,332.49,4.252,0,5.96,0.00,0.00,0.00,7.73
E02001622,"Southey Green West",320,301.0,493.34,7.759,0,5.96,2673.12,1692.16,0.00,0.53
E02001623,"Firth Park",360,248.0,820.73,5.012,0,5.96,0.00,0.00,0.00,0
E02001624,"Brightside & Wincobank",408,562.0,996.94,3.526,0,6.22,0.00,0.00,0.00,2.25
E02001625,"Southey Green East",325,301.0,761.55,5.356,0,5.96,0.00,0.00,0.00,1.96
E02001626,"Wadsley & Marlcliffe",250,220.0,193.74,6.586,0,5.22,0.00,0.00,0.00,1.96
E02001627,"Hillsborough",269,301.0,4827.63,14.788,3,5.22,0.00,21207.11,0.00,1.52
E02001628,"Tinsley & Carbrook",458,427.0,15241.81,3.595,2,5.67,40333.04,873.58,4505.21,4.57
E02001629,"Shirecliffe & Parkwood Springs",285,302.0,679.72,3.007,0,5.96,0.00,1065.09,0.00,2.57
E02001630,"Crabtree & Fir Vale",319,328.0,1851.02,1.901,0,5.96,0.00,0.00,0.00,3.56
E02001631,"Malin Bridge & Wisewood",233,220.0,452.42,10.954,0,5.22,0.00,2049.55,0.00,1.05
E02001632,"Burngreave & Grimesthorpe",326,788.0,2732.66,4.569,3,5.98,0.00,10461.50,299.68,12.26
E02001633,"Upper Stannington & Loxley",152,246.0,645.94,13.373,0,5.22,0.00,826.16,0.00,5
E02001634,"Walkley",211,602.0,449.06,13.738,0,5.22,0.00,764.82,0.00,0.52
E02001635,"Lower Stannington",186,576.0,184.38,9.637,0,5.66,0.00,0.00,0.00,0.19
E02001636,"Upperthorpe",229,1879.0,1650.33,34.511,1,5.42,0.00,6925.94,0.00,4.6
