E02005397	Castle Donington
E02005398	Kegworth & Belton
E02005399	Ashby de la Zouch North
E02005400	Thringstone & Swannington
E02005401	Packington
E02005402	Ashby de la Zouch South
E02005403	Whitwick
E02005404	Donisthope & Blackfordby
E02005405	Agar Nook
E02005406	Coalville
E02005407	Hugglescote & Bardon Hill
E02005408	Measham & Appleby Magna
E02005409	Ibstock & Ellistown
