MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02000433,"Stanmore Park",0,1274.0,204.40,49.552,3,0.00,4532.35,0.00,0
E02000434,"Canons Park",0,1023.0,651.92,96.151,3,0.00,0.00,0.00,0
E02000435,"Stanmore Uxbridge Road",0,438.0,100.01,35.367,0,0.00,0.00,0.00,0
E02000436,"Hatch End North",0,1420.0,867.20,24.983,0,0.00,0.00,0.00,0
E02000437,"Harrow Weald",0,939.0,404.81,19.451,4,0.00,4301.43,0.00,0
E02000438,"Hatch End South",0,1392.0,652.28,29.123,1,0.00,4645.26,0.00,0
E02000439,"Edgware West",0,585.0,32.04,28.340,0,0.00,1569.91,0.00,0
E02000440,"Belmont",0,939.0,79.56,31.477,0,0.00,0.00,0.00,0
E02000441,"Pinner Green",0,481.0,292.98,29.507,1,0.00,3833.50,0.00,0
E02000442,"Queensbury East",0,1023.0,416.23,22.606,0,0.00,0.00,0.00,0
E02000443,"Wealdstone North",0,501.0,58.35,23.667,0,0.00,1214.77,0.00,0
E02000444,"Queensbury West",0,939.0,0.00,19.050,0,0.00,340.63,0.00,0
E02000445,"Wealdstone South",0,836.0,1258.27,22.855,3,0.00,280.22,0.00,0
E02000447,"Headstone Lane",0,1727.0,251.74,12.185,0,0.00,0.00,0.00,0
E02000448,"Pinner Central",0,481.0,1206.87,104.706,1,0.00,5104.38,0.00,0
E02000449,"Kenton East",0,1697.0,0.00,12.156,0,0.00,402.31,0.00,0
E02000451,"North Harrow",0,1226.0,148.13,14.187,0,0.00,0.00,0.00,0
E02000452,"Greenhill North",0,1246.0,947.59,109.576,4,0.00,7255.34,0.00,0
E02000453,"Pinner Road",0,745.0,77.65,9.907,13,0.00,3040.20,0.00,0
E02000454,"Pinner South",0,891.0,29.54,28.434,0,0.00,0.00,0.00,0
E02000455,"Greenhill South",0,836.0,469.15,18.864,3,0.00,0.00,466.58,0
E02000456,"West Harrow",0,745.0,180.40,6.547,6,0.00,0.00,0.00,0
E02000457,"Rayners Lane North",0,891.0,294.62,17.800,4,0.00,0.00,0.00,0
E02000459,"South Harrow",0,745.0,737.99,17.011,4,0.00,3260.58,0.00,0
E02000460,"Newton Farm",0,410.0,93.98,12.380,1,0.00,0.00,0.00,0
E02000461,"Harrow-on-the-Hill",0,1174.0,719.21,12.123,5,0.00,0.00,0.00,0
E02000462,"Alexandra Park",0,692.0,166.21,11.693,2,0.00,2951.01,0.00,0
E02000463,"Earlsmead",0,1127.0,15.74,8.756,0,0.00,0.00,0.00,0
E02006795,"Rayners Lane South",0,891.0,9.82,9.649,4,0.00,0.00,0.00,0
E02006882,"Kenton West",0,501.0,247.31,27.779,0,0.00,0.00,1967.93,0
