MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02005503,"Bawdeswell",0,382.0,661.72,24.584,0,0.00,0.00,2547.90,0.77
E02005504,"Whissonsett",0,493.0,606.03,25.164,0,0.00,0.00,0.00,0.84
E02005505,"Dereham North & Neatherd",0,183.0,889.35,10.199,0,0.00,0.00,0.00,3.28
E02005506,"Dereham West",0,338.0,320.27,12.935,0,0.00,643.34,0.00,1.59
E02005507,"Dereham Central & Toftwood",0,416.0,4100.07,24.253,2,0.00,22367.65,2217.86,6.81
E02005508,"Hockering",0,399.0,514.75,22.047,0,0.00,0.00,0.00,0.98
E02005509,"Swaffham",0,149.0,1961.14,22.325,4,0.00,8479.90,0.00,5.1
E02005510,"Shipdham",0,236.0,465.69,15.910,0,0.00,0.00,0.00,1.67
E02005511,"Watton",0,102.0,1071.60,14.601,0,0.00,3179.54,0.00,0.65
E02005512,"Wayland",0,422.0,1686.11,27.982,1,0.00,476.01,0.00,6.72
E02005513,"Attleborough",0,171.0,2443.96,37.442,0,0.00,4694.53,0.00,5.12
E02005514,"Mundford",0,477.0,2502.53,15.103,0,0.00,0.00,23783.40,1.81
E02005515,"Buckenhams & Snetterton",0,171.0,4037.58,23.750,1,0.00,0.00,0.00,0.26
E02005516,"East Harling",0,312.0,1306.95,22.520,1,0.00,0.00,0.00,0
E02005517,"Thetford North",0,102.0,2166.96,5.453,0,0.00,0.00,1807.19,0
E02005518,"Thetford Central & East",0,204.0,2863.42,18.330,2,0.00,11564.77,0.00,0
E02005519,"Thetford South",0,102.0,3423.15,10.115,2,0.00,8280.69,483.08,0.42
