MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02000577,"Golborne & Swinbrook",0,2810.0,836.21,0.099,15,0.00,8016.23,934.42,0
E02000578,"Ladbroke Grove",0,255.0,81.83,0.000,18,0.00,0.00,0.00,0
E02000579,"North Kensington",0,708.0,290.06,0.189,39,0.00,0.00,2893.18,0
E02000580,"Portobello",0,708.0,17.38,11.238,28,0.00,751.47,407.56,0
E02000581,"Notting Dale",0,708.0,48.63,3.583,19,0.00,0.00,1251.75,0
E02000582,"Notting Hill Gate",0,1046.0,28.52,4.978,32,0.00,608.15,0.00,0
E02000583,"Notting Hill West",0,803.0,0.00,4.765,54,94.87,0.00,0.00,0
E02000584,"Notting Hill South",0,1489.0,633.71,9.517,29,0.00,0.00,0.00,0
E02000585,"Holland Park",0,1279.0,314.74,3.313,39,0.00,0.00,0.00,0
E02000586,"Queen's Gate",0,828.0,101.77,7.091,36,0.00,2920.88,0.00,0
E02000587,"Kensington Abingdon",0,1403.0,80.12,19.186,33,0.00,1230.84,0.00,0
E02000588,"Hans Town",0,1599.0,320.81,8.140,53,0.00,0.00,0.00,0
E02000589,"Kensington Gardens",0,1649.0,155.63,2.179,17,0.00,5212.64,0.00,0
E02000590,"Brompton",0,1008.0,130.09,5.043,22,0.00,0.00,0.00,0
E02000591,"Earl's Court",0,972.0,359.61,0.933,20,0.00,5567.05,0.00,0
E02000592,"South Kensington",0,1218.0,85.04,9.236,39,0.00,3235.34,0.00,0
E02000593,"West Brompton",0,1294.0,20.63,1.178,33,0.00,586.01,0.00,0
E02000594,"Chelsea Manor & Royal Hospital",0,1050.0,161.99,3.290,36,0.00,616.88,0.00,0
E02000595,"Chelsea Riverside East",0,1072.0,223.48,7.911,35,0.00,944.84,0.00,0
E02000596,"Fulham Road",0,2095.0,43.62,9.458,27,0.00,0.00,0.00,0
E02000597,"Chelsea Riverside West",0,687.0,262.53,4.127,16,0.00,0.00,0.00,0
