MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02000807,"Rotherhithe",0,255.0,95.81,4.692,4,0.00,0.00,0.00
E02000808,"Borough & Southwark Street",0,790.0,142.62,4.687,18,0.00,0.00,196.70
E02000809,"Bermondsey North",0,1045.0,536.91,3.333,10,0.00,0.00,0.00
E02000810,"Bermondsey East",0,1045.0,336.89,4.758,19,0.00,0.00,0.00
E02000812,"London Bridge & Bermondsey West",0,1045.0,140.26,10.853,17,0.00,0.00,0.00
E02000813,"Canada Water",0,384.0,900.53,3.910,17,0.00,10128.84,0.00
E02000814,"Surrey Quays",0,384.0,931.51,5.488,6,0.00,0.00,0.00
E02000815,"Elephant & Castle",0,918.0,133.99,1.181,4,0.00,0.00,0.00
E02000816,"South Bermondsey Central",0,1045.0,94.19,2.406,9,0.00,0.00,10225.26
E02000817,"South Bermondsey East",0,559.0,332.20,2.342,3,0.00,0.00,0.00
E02000818,"Walworth North",0,918.0,211.11,0.182,10,0.00,3859.17,0.00
E02000819,"South Bermondsey West",0,1045.0,692.34,0.925,1,0.00,5675.59,0.00
E02000820,"Newington",0,1052.0,23.40,0.132,16,0.00,0.00,0.00
E02000821,"Burgess Park",0,1537.0,101.89,0.586,8,0.00,8182.53,0.00
E02000822,"Walworth South",0,1537.0,71.89,0.167,6,0.00,0.00,0.00
E02000823,"Burgess Park West & John Ruskin Street",0,443.0,85.80,1.052,4,0.00,0.00,1084.30
E02000824,"Peckham Park Road",0,1349.0,1076.74,2.778,6,0.00,1284.20,0.00
E02000825,"Peckham North West",0,874.0,199.45,3.029,3,0.00,0.00,0.00
E02000826,"Camberwell North",0,619.0,47.14,2.935,11,0.00,0.00,0.00
E02000827,"Camberwell Green",0,499.0,395.30,11.380,15,0.00,4322.84,683.89
E02000828,"Peckham North",0,304.0,1033.49,7.264,9,0.00,6564.08,0.00
E02000829,"Queens Road Peckham",0,398.0,251.72,2.151,12,0.00,4297.60,0.00
E02000830,"Camberwell South",0,886.0,283.18,2.627,23,0.00,0.00,0.00
E02000831,"Peckham Rye",0,886.0,244.62,3.165,8,0.00,2299.28,0.00
E02000832,"Nunhead North",0,694.0,20.91,2.373,12,0.00,0.00,0.00
E02000833,"North Dulwich",0,766.0,457.28,4.557,7,0.00,668.60,0.00
E02000834,"Peckham Rye Common",0,571.0,60.67,12.475,27,0.00,389.89,125.85
E02000835,"Nunhead South & Newlands",0,929.0,0.00,3.096,12,0.00,0.00,0.00
E02000836,"East Dulwich",0,542.0,50.00,34.648,34,0.00,1356.24,0.00
E02000837,"Herne Hill & Dulwich Park",0,1041.0,345.94,23.253,44,0.00,0.00,0.00
E02000838,"Dulwich Hill",0,777.0,0.00,12.810,8,0.00,250.99,0.00
E02000839,"Sydenham Hill",0,1152.0,260.74,64.096,7,0.00,0.00,0.00
E02006802,"Southwark St George's",0,924.0,150.34,1.897,10,0.00,0.00,0.00
