MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
W02000142,"Llanfihangel-ar-arth & Llanybydder",0,207.0,1060.90,2.113,1,0,1214.43,1138.49,0.00,0
W02000143,"Llandovery",0,147.0,1034.52,8.656,0,0,0.00,1429.88,3406.20,0
W02000144,"Tre-lech",0,151.0,1153.35,9.115,1,0,0.00,787.86,1620.54,0
W02000145,"Llandeilo",0,189.0,1651.26,16.531,1,0,0.00,1667.63,1232.47,0
W02000146,"Abergwili",0,435.0,414.58,18.445,0,0,0.00,0.00,0.00,0
W02000147,"Carmarthen West & Cynwyl Elfed",0,155.0,1991.61,10.375,0,0,0.00,706.85,0.00,0
W02000148,"Carmarthen North",0,54.0,2122.75,7.162,0,0,0.00,0.00,0.00,0
W02000149,"Carmarthen South & Llangynnwr",0,155.0,6373.12,23.145,3,0,0.00,20378.04,0.00,0
W02000151,"Brynaman",0,122.0,576.67,14.058,3,0,0.00,0.00,0.00,0
W02000152,"Llandybie & Saron",0,223.0,783.14,14.403,1,0,0.00,0.00,0.00,0
W02000153,"Llanddarog",0,389.0,792.27,20.923,1,0,0.00,0.00,0.00,0
W02000154,"Ammanford & Betws",0,83.0,2404.12,19.099,2,0,0.00,5541.00,0.00,0
W02000156,"Llan-non",0,1563.0,3417.20,20.020,2,0,0.00,5476.56,0.00,0
W02000157,"Glyn & Pontyberem",0,335.0,1065.74,16.834,1,0,0.00,0.00,0.00,0
W02000158,"Yr Hendy & Tŷ-croes",0,1484.0,394.97,15.841,0,0,0.00,0.00,6321.03,0
W02000159,"Cydweli & Trimsaran",0,176.0,887.27,12.177,1,0,0.00,1717.91,0.00,0
W02000160,"Swiss Valley & Llangennech",0,1401.0,232.33,16.607,0,0,0.00,0.00,0.00,0
W02000161,"Dafen & Felin-foel",0,219.0,1964.82,9.169,0,0,0.00,537.64,2285.39,0
W02000162,"Pembrey & Burry Port",0,97.0,3918.24,14.757,1,0,0.00,0.00,0.00,0
W02000163,"Llanelli North",0,219.0,600.17,6.099,1,0,0.00,1500.09,0.00,0
W02000164,"Llanelli West",0,249.0,3328.37,20.666,3,0,0.00,1927.01,0.00,0
W02000165,"Llanelli Bigyn",0,219.0,4246.79,6.373,2,0,0.00,12381.00,0.00,0
W02000166,"Bynea & Llwynhendy",0,140.0,3239.18,18.414,1,0,0.00,6962.06,0.00,0
W02000167,"Llanelli South",0,79.0,1689.87,9.623,0,0,0.00,7523.24,0.00,0
W02000418,"Whitland",0,192.0,2266.85,24.504,5,0,0.00,0.00,7947.06,0
