MSOA,index-of-transport-accesibility,chargepoints
E02002081,0,0.00
E02002082,0,0.00
E02002083,0,0.02
E02002084,0,0.00
E02002085,0,0.00
E02002086,0,0.01
E02002087,0,0.00
E02002088,0,0.00
E02002089,0,0.06
E02002090,0,0.00
E02002091,0,0.03
E02002092,0,0.01
E02002093,0,0.01
E02002094,0,0.00
E02002095,0,0.01
E02002096,0,0.01
E02002097,0,0.00
E02002098,0,0.02
E02002099,0,0.05
E02002101,0,0.00
E02002102,0,0.02
E02002103,0,0.01
E02002104,0,0.00
E02002105,0,0.00
E02002106,0,0.01
E02002107,0,0.03
E02002108,0,0.01
E02002109,0,0.05
E02006808,0,0.01
