MSOA,index-of-transport-accesibility,chargepoints
E02003549,0,0.00
E02003550,0,0.00
E02003551,0,0.00
E02003552,0,0.00
E02003553,0,0.00
E02003554,0,0.01
E02003555,0,0.01
E02003556,0,0.00
E02003557,0,0.01
E02003558,0,0.00
E02003559,0,0.00
E02003560,0,0.01
E02003561,0,0.00
E02003562,0,0.00
E02003563,0,0.01
E02003564,0,0.01
E02003565,0,0.00
E02003566,0,0.00
E02003567,0,0.01
E02003568,0,0.01
E02003569,0,0.00
E02003570,0,0.04
E02003571,0,0.19
E02003572,0,0.05
E02003573,0,0.00
E02003574,0,0.00
E02003575,0,0.00
E02003576,0,0.02
E02003577,0,0.00
E02003578,0,0.00
E02003579,0,0.02
E02003580,0,0.00
