MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02004741,"Bridgemary North",0,145.0,1521.04,13.796,0,0,0.00,0.00,0.00,0.2
E02004742,"Bridgemary South",0,145.0,821.26,12.771,1,0,0.00,0.00,0.00,0
E02004743,"Elson",0,258.0,1366.27,6.757,0,0,0.00,0.00,0.00,0
E02004744,"Rowner",0,145.0,1193.12,18.526,2,0,0.00,0.00,0.00,0
E02004745,"Priddy's Hard & Brockhurst East",0,258.0,385.86,20.749,0,0,0.00,1303.61,0.00,0
E02004746,"Lee-on-the-Solent",0,145.0,964.05,22.468,2,0,0.00,0.00,0.00,0
E02004747,"Brockhurst",0,258.0,2422.38,6.674,0,0,0.00,0.00,0.00,0
E02004748,"Gosport Town",0,113.0,3845.31,15.022,7,0,177.82,14295.62,0.00,0
E02004749,"Alverstoke & Privett",0,258.0,1015.24,8.624,0,0,0.00,0.00,0.00,0
E02004750,"Clayhall & Anglesey",0,113.0,3123.09,8.510,0,0,0.00,0.00,0.00,0
