MSOA,index-of-transport-accesibility,chargepoints
E02003090,0,0.00
E02003091,0,0.01
E02003092,0,0.00
E02003093,0,0.01
E02003094,0,0.07
E02003095,0,0.01
E02003096,0,0.01
E02003097,0,0.00
E02003098,0,0.02
E02003099,0,0.00
E02003100,0,0.05
E02003101,0,0.01
E02003102,0,0.00
E02003103,0,0.00
E02003104,0,0.00
E02003105,0,0.00
E02003106,0,0.05
E02003107,0,0.01
E02003108,0,0.00
E02003109,0,0.01
E02003110,0,0.06
E02003111,0,0.00
E02003112,0,0.01
E02003113,0,0.00
E02003114,0,0.01
E02003115,0,0.00
E02003116,0,0.00
E02003117,0,0.02
E02003118,0,0.00
E02003119,0,0.00
E02003120,0,0.02
E02003121,0,0.00
