MSOA,Name,index-of-transport-accesibility,chargepoints
E02004829,"South Wonston",0,0
E02004830,"Springvale & Itchen Abbas",0,4
E02004831,"Winchester North & Sparsholt",0,5
E02004832,"New Alresford",0,1
E02004833,"Winchester West",0,2
E02004834,"Winchester East",0,14
E02004835,"Winchester Central & South",0,24
E02004836,"Winchester Stanmore",0,0
E02004837,"Oliver's Battery and Hursley",0,3
E02004838,"Colden Common & Twyford",0,1
E02004839,"Swanmore",0,2
E02004840,"Bishop's Waltham & Waltham Chase",0,6
E02004841,"Whiteley",0,9
E02004842,"Denmead & Southwick",0,1
