MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02004243,"Alderholt & Sixpenny Handley",0,1091.0,557.48,32.932,0,0,0.00,0.00,3455.18,6.63
E02004244,"East Verwood",0,522.0,452.91,56.171,0,0,0.00,7602.65,0.00,4.6
E02004245,"West Verwood",0,522.0,381.30,42.853,2,0,0.00,0.00,0.00,0
E02004246,"St Leonards",0,628.0,1899.01,32.797,2,0,0.00,0.00,0.00,13.8
E02004247,"Sturminster Marshall & Crichel",0,1070.0,1241.02,34.548,2,0,0.00,858.88,2325.60,3.62
E02004248,"West Moors",0,614.0,419.97,22.850,1,0,0.00,955.02,0.00,0.43
E02004249,"Colehill",0,417.0,524.43,26.154,0,0,0.00,289.73,0.00,5.64
E02004250,"Ferndown Town",0,197.0,1661.45,47.781,2,0,0.00,14494.86,0.00,0.3
E02004251,"Ferndown West & Canford Bottom",0,614.0,903.98,31.179,0,0,0.00,0.00,0.00,4.93
E02004252,"Wimborne Minster",0,417.0,2469.73,66.199,3,0,0.00,4800.75,7620.23,6.7
E02004253,"Parley & Hampreston",0,614.0,1546.16,32.168,0,0,0.00,1305.30,0.00,1.06
E02004254,"Corfe Mullen",0,534.0,661.95,32.568,0,0,0.00,1825.58,0.00,1.99
E02004255,"Gillingham",0,123.0,1702.98,20.969,2,0,0.00,7593.72,5100.87,1.53
E02004256,"Gillingham Outer",0,311.0,1193.15,27.796,0,0,0.00,1757.49,5685.08,1.35
E02004257,"Shaftesbury",0,103.0,946.56,24.000,3,0,0.00,4135.73,0.00,0.56
E02004258,"Sturminster Newton & Stalbridge",0,291.0,1312.41,42.965,0,0,0.00,2886.34,0.00,2.79
E02004259,"Child Okeford & Iwerne Minster",0,539.0,1643.16,26.146,0,0,0.00,0.00,0.00,0
E02004260,"Blandford Outer & Tarrants",0,436.0,15459.76,26.278,2,0,0.00,4583.44,0.00,11.06
E02004261,"Blandford Forum Town",0,173.0,1606.42,41.127,2,0,0.00,6628.49,90.74,2.73
E02004262,"Milborne",0,768.0,363.34,26.170,0,0,0.00,0.00,0.00,2.41
E02004263,"Bere Regis & Lytchett Matravers",0,818.0,380.90,19.490,1,0,1.96,0.00,0.00,1
E02004264,"Upton & Lytchett Minster",0,645.0,664.61,27.143,0,0,7.84,488.59,0.00,0.57
E02004265,"Wareham",0,228.0,1352.89,35.155,0,0,135.33,1643.66,0.00,3.78
E02004266,"Bovington",0,467.0,7836.37,27.308,0,0,22.00,0.00,37955.39,1.89
E02004267,"Corfe Castle & Langton Matravers",0,497.0,5072.08,16.837,2,0,0.00,0.00,0.00,0
E02004268,"Swanage",0,89.0,1620.73,27.239,5,0,0.00,2454.74,0.00,2.88
E02004269,"Sherborne",0,171.0,1228.59,30.926,2,0,0.00,5275.58,8378.25,1.7
E02004270,"Yetminster",0,765.0,1100.83,27.465,0,0,0.00,0.00,229.20,0.75
E02004271,"Beaminster",0,880.0,812.92,44.156,0,0,0.00,164.05,4222.85,1.8
E02004272,"Charlton Down",0,607.0,1555.58,57.623,0,0,0.00,0.00,443.38,2.69
E02004273,"Lyme Regis",0,396.0,3438.05,33.134,8,0,0.00,268.21,0.00,11.83
E02004274,"Bridport North",0,258.0,330.37,24.679,0,0,0.00,3426.72,0.00,0.96
E02004275,"Burton Bradstock & Chideock",0,373.0,1442.41,25.145,0,0,0.00,450.14,0.00,0.51
E02004276,"Bridport South & West Bay",0,150.0,2397.39,13.988,5,0,0.00,7251.17,0.00,7.2
E02004277,"Dorchester West & Poundbury",0,351.0,4446.05,55.858,11,0,0.00,5363.38,2846.63,12.04
E02004278,"Dorchester East",0,128.0,1625.96,14.286,2,0,0.00,5445.75,0.00,5.05
E02004279,"Owermoigne",0,490.0,931.70,31.895,0,0,0.00,0.00,0.00,4.21
E02004280,"Chickerell & Chesil Bank",0,502.0,2963.70,25.008,1,0,0.00,2927.03,0.00,0.89
E02004281,"Broadwey & Littlemoor",0,279.0,367.72,16.960,0,0,0.00,0.00,0.00,1.17
E02004282,"Preston & Lodmoor",0,279.0,2815.61,20.582,1,0,0.00,2162.12,0.00,0.37
E02004283,"Westham North & Radipole",0,279.0,3690.89,14.390,9,0,0.00,15323.15,0.00,4.97
E02004284,"Weymouth Town",0,279.0,3032.86,38.334,5,0,0.00,645.25,0.00,15.66
E02004285,"Westham South",0,140.0,1022.64,8.059,0,0,0.00,4586.11,0.00,11.71
E02004286,"Weymouth West",0,140.0,0.00,4.997,0,0,0.00,0.00,0.00,0.28
E02004287,"Wyke Regis",0,140.0,59.17,5.763,1,0,0.00,0.00,0.00,2.14
E02004288,"Underhill & The Grove",0,182.0,2227.87,5.045,1,0,0.00,1843.30,0.00,1.7
E02004289,"Southwell & Weston",0,42.0,2071.39,6.045,2,0,0.00,3716.19,0.00,0.28
