MSOA,index-of-transport-accesibility,chargepoints
E02003314,0,0.00
E02003315,0,0.00
E02003316,0,0.00
E02003317,0,0.00
E02003318,0,0.00
E02003319,0,0.00
E02003320,0,0.01
E02003321,0,0.00
E02003322,0,0.00
E02003323,0,0.00
E02003324,0,0.02
E02003325,0,0.00
E02003326,0,0.00
E02003327,0,0.00
E02003328,0,0.00
E02003329,0,0.00
E02003330,0,0.00
E02003331,0,0.00
E02003332,0,0.00
E02003333,0,0.00
E02003334,0,0.00
E02003335,0,0.00
E02003336,0,0.00
E02003337,0,0.00
E02003338,0,0.00
E02003339,0,0.00
E02003340,0,0.00
E02003341,0,0.00
E02003342,0,0.00
E02003343,0,0.01
E02003344,0,0.00
E02003345,0,0.02
E02003346,0,0.01
E02003347,0,0.01
E02003348,0,0.00
E02003349,0,0.00
E02003350,0,0.00
E02003351,0,0.00
