MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02001347,"Fazakerley North",744,173.0,105.00,9.587,2,0.00,1317.41,0.00
E02001348,"Walton Vale",660,124.0,0.00,9.393,2,0.00,0.00,0.00
E02001349,"Orrell Park",590,175.0,277.85,9.697,0,0.00,0.00,0.00
E02001350,"Croxteth West & Gillmoss",727,147.0,4138.40,13.105,2,0.00,0.00,0.00
E02001351,"Fazakerley South",710,173.0,1236.28,17.947,13,0.00,618.51,0.00
E02001352,"Walton North",538,126.0,1109.91,8.145,0,0.00,10954.88,0.00
E02001353,"Croxteth East",619,119.0,0.00,17.949,0,0.00,0.00,0.00
E02001354,"Walton East",677,175.0,634.01,5.928,0,0.00,9869.23,0.00
E02001355,"Walton Hall",618,205.0,638.20,2.621,0,0.00,0.00,0.00
E02001356,"Norris Green East",692,119.0,580.36,9.788,0,0.00,0.00,0.00
E02001357,"Norris Green West",674,139.0,61.34,5.687,0,0.00,0.00,0.00
E02001358,"Walton South",543,109.0,719.90,2.299,0,0.00,1574.03,0.00
E02001359,"Croxteth Park",656,119.0,27.05,12.607,0,0.00,0.00,0.00
E02001360,"Kirkdale North",487,143.0,899.50,5.144,0,0.00,1494.89,1278.88
E02001361,"Anfield North",612,107.0,1.76,1.847,0,0.00,0.00,0.00
E02001362,"Muirhead Avenue",672,179.0,21.01,11.888,0,0.00,0.00,0.00
E02001363,"Yewtree",700,103.0,452.47,13.062,2,0.00,5669.69,0.00
E02001364,"Anfield West",528,64.0,1288.36,0.951,0,0.00,0.00,0.00
E02001365,"Anfield East",590,118.0,24.75,1.355,0,0.00,0.00,0.00
E02001366,"Tuebrook",664,118.0,139.14,4.331,0,0.00,0.00,0.00
E02001367,"Sandfield Park & Holly Lodge",682,212.0,0.00,43.783,0,0.00,0.00,0.00
E02001368,"Kirkdale South & Vauxhall",364,226.0,1071.10,1.141,0,0.00,5198.27,756.99
E02001369,"Everton West",449,175.0,1380.29,0.045,2,0.00,0.00,0.00
E02001370,"Everton East",556,92.0,109.09,0.045,2,0.00,5070.63,0.00
E02001371,"Knotty Ash",738,33.0,85.82,8.165,0,0.00,0.00,0.00
E02001372,"Dovecot",718,163.0,1792.19,12.101,4,0.00,8978.39,0.00
E02001373,"Fairfield East",704,93.0,1683.55,6.018,13,0.00,9798.93,0.00
E02001374,"Fairfield West & Newsham Park",635,103.0,4240.47,0.356,9,0.00,2299.77,16387.67
E02001375,"Stoneycroft",726,163.0,0.00,4.653,7,0.00,0.00,0.00
E02001376,"Kensington",592,103.0,504.19,0.047,0,0.00,0.00,0.00
E02001377,"Edge Hill",587,289.0,4540.52,0.055,3,0.00,2217.02,0.00
E02001378,"Wavertree East",721,101.0,197.05,6.392,0,0.00,0.00,2427.27
E02001380,"Broad Green",743,184.0,265.15,13.283,1,0.00,0.00,0.00
E02001381,"Wavertree West",625,183.0,2043.50,6.791,0,0.00,0.00,0.00
E02001382,"Childwall East",723,83.0,30.74,22.316,1,0.00,0.00,0.00
E02001383,"Chinatown",485,101.0,1205.71,0.000,20,0.00,0.00,0.00
E02001384,"Wavertree South",623,381.0,947.03,22.958,0,0.00,9038.53,0.00
E02001385,"Toxteth Park",514,123.0,57.81,0.043,0,0.00,0.00,0.00
E02001386,"Belle Vale",691,202.0,1480.03,23.554,0,0.00,8226.13,0.00
E02001387,"Childwall West & Wavertree Green",707,226.0,366.78,24.410,0,0.00,0.00,0.00
E02001388,"Wavertree Penny Lane",644,176.0,614.89,17.236,6,0.00,0.00,0.00
E02001389,"Princes Park",490,147.0,102.86,4.175,0,0.00,0.00,0.00
E02001390,"Toxteth",369,101.0,973.66,0.000,2,0.00,12087.24,0.00
E02001391,"Netherley",755,264.0,0.00,1.929,0,0.00,0.00,0.00
E02001392,"Gateacre",635,192.0,162.23,18.528,0,0.00,1529.72,0.00
E02001393,"Calderstones",656,327.0,754.64,29.037,0,0.00,0.00,0.00
E02001394,"Mossley Hill West & Sefton Park",630,256.0,472.37,33.163,0,0.00,0.00,0.00
E02001395,"Mossley Hill East",633,215.0,873.65,45.735,2,0.00,7594.23,0.00
E02001396,"Dingle",381,269.0,3152.34,4.387,18,0.00,2385.58,0.00
E02001397,"Woolton",605,192.0,702.01,40.201,0,0.00,7804.62,0.00
E02001398,"St Michael's & Otterspool",523,80.0,1158.67,14.294,2,0.00,1071.87,0.00
E02001399,"West Allerton",554,285.0,465.97,15.104,0,0.00,0.00,0.00
E02001400,"Allerton",557,414.0,677.32,15.203,0,0.00,0.00,0.00
E02001401,"Hunts Cross",665,319.0,3250.02,16.614,0,0.00,8562.87,0.00
E02001402,"Aigburth & Grassendale",522,150.0,475.05,23.641,2,0.00,2788.59,7795.46
E02001403,"Garston",565,205.0,266.61,15.848,6,0.00,0.00,0.00
E02001404,"Speke West & Airport",651,137.0,19467.31,12.516,1,0.00,0.00,84566.39
E02001405,"Speke East",725,67.0,1472.20,8.622,1,0.00,7288.84,0.00
E02006932,"Central & Islington",489,232.0,4053.78,0.000,2,0.00,1458.52,0.00
E02006933,"Albert Dock & Queen's Dock",359,189.0,6231.53,0.000,3,0.00,0.00,2760.69
E02006934,"Pier Head",367,103.0,4631.91,0.000,6,0.00,0.00,0.00
