MSOA,index-of-transport-accesibility,chargepoints
E02001738,0.083,0.00
E02001739,0.266,0.00
E02001740,0.089,0.03
E02001741,0.163,0.00
E02001742,0.085,0.00
E02001743,0.054,0.01
E02001744,0.116,0.00
E02001745,0.001,0.01
E02001746,0.104,0.00
E02001747,0.096,0.00
E02001748,0.259,0.06
E02001749,0.148,0.00
E02001750,0,0.03
E02001751,0.106,0.00
E02001752,0.145,0.04
E02001753,0,0.02
E02001754,0.124,0.00
E02001755,0.077,0.06
E02001756,0.09,0.01
E02001757,0.227,0.00
E02001758,0.155,0.01
E02001759,0.102,0.02
E02001760,0.169,0.01
E02001761,0.206,0.00
E02001762,0.121,0.00
E02001763,0.147,0.00
E02001764,0.106,0.00
E02001765,0.184,0.00
E02001766,0.125,0.02
E02001767,0.159,0.01
