MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02001539,"Moorends",440,1109.0,80.30,5.631,0,2.62,0.00,0.00,0.00,1.39
E02001540,"Askern",431,445.0,845.24,21.122,0,5.79,0.00,1088.27,0.00,1.842
E02001541,"Thorne",489,1109.0,316.12,11.293,5,5.32,0.00,6579.26,0.00,0.79
E02001542,"Stainforth",415,1360.0,195.83,15.537,0,5.94,0.00,1221.72,0.00,9.78
E02001543,"Carcroft",511,222.0,393.04,10.001,0,5.73,0.00,0.00,0.00,0
E02001544,"Hatfield West",438,60.0,179.57,11.163,1,5.94,0.00,0.00,0.00,0.462
E02001545,"Kirk Sandall & Barnby Dun",363,290.0,199.31,21.422,0,5.94,0.00,2220.18,0.00,0.21
E02001546,"Hatfield East",428,1268.0,2112.24,15.302,2,5.32,0.00,0.00,0.00,268.386
E02001547,"Adwick le Street & Woodlands",511,222.0,384.10,12.472,0,5.99,0.00,798.92,0.00,12.67
E02001548,"Bentley & Toll Bar",382,150.0,173.89,13.411,1,5.74,0.00,2431.38,0.00,0.462
E02001549,"Edenthorpe & Mere Lane",389,230.0,1247.43,13.298,0,5.94,0.00,13750.74,0.00,0.352
E02001550,"Scawthorpe",435,150.0,440.94,11.210,1,5.74,0.00,0.00,0.00,3.49
E02001551,"Bentley Rise",419,150.0,1146.23,10.275,0,6.33,0.00,7786.70,0.00,0.227
E02001552,"Armthorpe North",414,159.0,844.75,13.071,1,6.18,134790.54,1696.15,257975.44,2.476
E02001553,"Wheatley Hills",362,162.0,1502.07,10.308,1,5.83,0.00,2916.82,0.00,43.39
E02001554,"Cusworth",472,150.0,592.55,11.944,0,6.33,0.00,1860.63,0.00,0
E02001555,"Armthorpe South",377,99.0,407.89,10.763,0,6.18,0.00,0.00,24771.65,0.17
E02001556,"Intake",336,131.0,1369.44,7.151,0,5.54,0.00,0.00,0.00,0.485
E02001557,"Belle Vue & Town Fields",373,377.0,5512.47,7.631,0,6.10,0.00,2253.70,0.00,6.528
E02001558,"Cadeby",425,334.0,1200.81,14.771,0,5.96,84385.22,0.00,180754.42,0
E02001559,"Sprotbrough",422,150.0,1345.43,13.411,1,6.33,0.00,1040.58,0.00,0
E02001560,"Central Doncaster & Hyde Park",402,2233.0,6002.03,52.772,3,6.33,0.00,1330.14,6905.69,22.444
E02001561,"Hexthorpe & Balby North",448,246.0,94.64,10.987,0,6.33,0.00,0.00,0.00,0.25
E02001562,"Cantley Park",315,215.0,504.36,14.849,1,6.28,0.00,444.02,0.00,0
E02001563,"Bessacarr Bawtry Road",323,215.0,1989.41,19.656,3,4.90,0.00,10923.75,0.00,0
E02001564,"Old Cantley",333,481.0,8835.65,38.194,0,6.18,0.00,287.46,0.00,1.874
E02001565,"Bessacarr Grange & Lakeside",302,314.0,2570.59,15.019,5,4.90,0.00,0.00,0.00,10.66
E02001566,"Balby Carr",436,373.0,5642.91,23.090,3,5.83,0.00,19321.35,82892.26,1.37
E02001567,"Balby South",493,215.0,177.25,18.540,0,5.96,0.00,0.00,0.00,0.707
E02001568,"Mexborough East",325,112.0,328.50,12.121,0,2.38,0.00,0.00,0.00,0.06
E02001569,"Mexborough West",283,64.0,227.69,16.095,0,5.82,0.00,3333.01,0.00,0.68
E02001570,"Conisbrough North",319,112.0,499.33,9.253,0,3.49,0.00,1650.36,0.00,6.63
E02001571,"Warmsworth",496,841.0,0.00,17.444,1,5.95,0.00,0.00,0.00,0.6
E02001572,"Edlington",436,175.0,466.96,6.521,0,3.49,0.00,0.00,0.00,18.08
E02001573,"Conisbrough South",347,48.0,50.00,6.121,0,3.49,0.00,0.00,0.00,1.458
E02001574,"Rossington",384,426.0,705.62,13.090,0,4.90,0.00,0.00,0.00,0
E02001575,"New Rossington",404,127.0,406.42,19.147,1,5.32,0.00,4316.64,0.00,55.6
E02001576,"Bawtry",299,318.0,10571.63,31.492,0,6.82,0.00,415.09,0.00,0.51
E02001577,"Tickhill & Wadworth",289,127.0,1246.85,24.346,0,5.53,57257.09,0.00,259487.57,0
