MSOA,index-of-transport-accesibility,chargepoints
S02002097,0,0
S02002098,0,0
S02002099,0,0
S02002100,0,0
S02002101,0,0
S02002102,0,0
S02002103,0,0
S02002104,0,0
S02002105,0,0
S02002106,0,0
S02002107,0,0
S02002108,0,0
S02002109,0,0
S02002110,0,0
S02002111,0,0
S02002112,0,0
S02002113,0,0
S02002114,0,0
S02002115,0,0
S02002116,0,0
S02002117,0,0
S02002118,0,0
S02002119,0,0
S02002120,0,0
S02002121,0,0
S02002122,0,0
S02002123,0,0
S02002124,0,0
S02002125,0,0
S02002126,0,0
S02002127,0,0
S02002128,0,0
S02002129,0,0
S02002130,0,0
S02002131,0,0
S02002132,0,0
S02002133,0,0
S02002134,0,0
