MSOA,index-of-transport-accesibility,chargepoints
E02000895,0,0.01
E02000896,0,0.01
E02000897,0,0.03
E02000898,0,0.00
E02000899,0,0.00
E02000900,0,0.01
E02000901,0,0.02
E02000902,0,0.03
E02000903,0,0.02
E02000904,0,0.06
E02000905,0,0.07
E02000906,0,0.04
E02000907,0,0.02
E02000908,0,0.08
E02000909,0,0.08
E02000910,0,0.08
E02000911,0,0.05
E02000912,0,0.01
E02000913,0,0.22
E02000914,0,0.06
E02000915,0,0.03
E02000916,0,0.09
E02000917,0,0.03
E02000918,0,0.08
E02000919,0,0.06
E02000920,0,0.06
E02000921,0,0.03
E02000922,0,0.08
